GEN:      BEST_LOSS:      AVERAGE_LOSS: 
0     416.928     498.561
1     416.928     490.525
2       414.9     482.662
3       414.9     475.621
4       414.9     469.828
5       414.9     464.251
6     392.869     458.629
7     392.869     454.714
8     392.869     450.283
9     392.869     446.129
10     390.674     441.923
11     367.702     438.008
12     367.702     434.636
13     367.702     430.681
14     367.702     426.565
15     367.702     423.084
16     367.702     419.626
17     367.702     416.721
18     367.702     413.555
19     367.702     410.324
20     360.059     407.465
21     360.059     404.909
22     360.059     401.917
23     352.554     399.631
24     349.645     397.044
25     349.645     394.187
26     349.645      392.07
27     349.645     389.374
28     347.007     386.979
29     347.007     384.336
30     347.007     382.074
31     347.007     379.921
32     329.158      377.88
33     329.158     375.341
34     329.158     373.799
35     329.158     372.046
36     329.158     369.778
37     329.158     368.145
38     329.158     366.689
39     324.692     365.252
40     324.692     363.944
41     324.692     362.581
42     313.744     361.354
43     313.744     360.441
44     313.744     359.177
45     313.744     357.843
46     313.744     356.523
47     313.744     355.136
48     313.744     353.316
49     313.744       352.5
50     313.744     351.023
51     313.744     349.367
52     313.744     348.155
53     312.813     346.668
54     295.331     345.314
55     295.331     343.716
56     295.331      342.79
57     295.331     341.212
58     295.331     340.015
59     295.331     338.636
60     295.331     337.056
61     295.331     335.131
62     295.331     333.351
63     295.331     331.896
64     295.331     330.024
65     295.331     328.254
66     295.331     327.245
67     295.331     325.293
68     292.966      323.65
69     292.966     322.326
70     292.966     320.419
71     270.545     318.578
72     270.545     316.767
73     270.545     314.456
74     270.545     312.655
75     270.545     310.992
76     270.545     309.583
77     270.545     307.834
78     270.545     305.803
79     270.545     304.186
80     270.545     302.608
81     266.444     300.906
82     266.444     299.548
83     266.444     298.123
84     266.444     296.556
85     264.891     294.555
86     264.728     293.049
87     264.728     291.451
88     262.703     289.432
89     262.703     287.798
90     255.795     286.413
91      254.22     284.518
92      254.22     282.466
93      254.22      280.74
94     252.728     278.804
95     252.728      277.28
96     252.728     276.041
97     252.728     274.565
98     252.728     273.247
99     245.097     272.079
100     245.097     271.203
101     245.097     269.952
102     237.082     268.929
103     237.082     268.169
104     237.082      267.47
105     237.082     266.243
106     237.082     265.191
107     237.082     264.628
108     237.082     263.675
109     237.082     262.839
110     237.082      261.89
111     232.467     260.922
112     232.467     260.314
113     232.467      259.37
114     232.467     258.464
115     232.174     257.347
116     232.174     256.067
117     227.508     255.155
118     227.508     254.299
119     227.508      253.62
120     227.508     253.018
121     225.085     252.125
122     225.085     251.539
123     224.611     250.742
124     224.611     249.621
125     224.611     248.505
126     224.611     247.668
127     223.697     246.988
128     223.697     246.248
129     223.697     245.371
130     223.697     244.695
131     223.697     243.957
132     223.697     243.319
133     223.697     242.803
134     223.697     242.028
135     220.573     241.451
136     220.573     240.917
137     220.573     240.228
138     220.573      239.63
139     220.573     239.188
140     219.137     238.378
141     218.819     238.108
142     218.819     237.373
143     218.819     236.739
144     218.819     236.075
145     218.819     235.615
146     211.917      235.21
147     211.917     234.404
148     211.917     233.839
149     211.917     233.419
150     211.917     232.708
151     211.917     232.314
152     211.917     231.891
153     206.908     231.523
154     206.908     231.079
155     206.908     230.455
156     204.804     230.074
157     204.804     229.649
158     204.804     228.895
159     204.804     228.235
160     204.804      227.85
161     204.804     227.435
162      204.51     226.845
163      204.51     226.281
164      204.51     225.713
165     202.743     224.948
166     202.743     224.325
167     201.439     223.461
168     198.668     223.227
169     198.668     222.654
170     196.406     221.775
171     196.406     220.927
172     196.406     220.109
173     196.406     218.983
174     195.113     218.377
175     195.113     217.735
176     195.113     217.254
177     195.113     216.421
178     195.113     215.482
179     195.113      215.03
180     187.945     214.218
181     187.945     213.398
182     187.945     212.787
183     187.945     211.879
184     187.945     211.237
185     187.945     210.741
186     187.945     210.253
187     187.945     209.461
188     187.945     209.007
189     187.945     208.609
190     186.021     207.677
191     186.021     207.088
192     186.021      206.28
193     186.021     205.634
194     186.021     205.037
195     184.341     203.994
196     184.341     203.331
197     184.341     202.681
198     184.341     202.051
199     184.341     201.489
200     183.078     200.604
201     183.078     200.084
202     183.078     199.582
203     182.071      198.86
204     182.071     198.231
205     182.071     197.694
206     180.897     196.866
207     177.265      196.31
208     177.265      195.91
209     177.265     195.306
210     177.265      194.76
211     177.265      194.31
212     177.265     193.796
213     177.265     193.261
214     174.159     192.808
215     174.159     192.536
216     174.159     192.313
217     174.159     191.809
218     173.496     191.224
219     171.888     190.466
220     171.888     189.894
221     171.888      189.35
222     171.471     188.724
223     169.938     188.039
224     169.938     187.351
225     169.938     186.598
226     169.938         186
227     169.938     185.282
228     165.734     184.416
229     165.734     183.856
230     165.734      183.23
231     165.734     182.612
232     165.734      181.95
233     165.734     181.262
234     165.734     180.408
235     165.734     179.859
236     165.734     179.349
237     165.734     178.806
238     161.803     178.161
239     161.803     177.631
240     161.803     176.996
241     161.803     176.618
242     161.803     176.234
243     161.803     175.881
244     161.803     175.596
245     161.803     175.121
246     160.366     174.639
247     160.366     174.021
248     160.366     173.555
249     160.366     172.819
250     160.366     172.463
251     160.366     171.887
252     160.047     171.536
253     160.047     171.188
254     160.047     170.804
255     160.047     170.468
256     160.047     169.993
257     159.788     169.605
258     159.788     169.203
259     159.788     168.813
260     153.972     168.614
261     153.972     168.337
262     153.972     168.134
263     153.972     167.904
264     153.972     167.578
265     153.972     167.125
266     153.972     166.939
267     151.616     166.535
268     151.616     166.257
269     151.616     165.927
270     151.616     165.549
271     151.616     165.199
272     151.278     164.698
273     151.278     164.245
274     150.988     163.901
275     150.507     163.665
276     150.507     163.239
277     150.507     162.756
278     150.507     162.374
279     150.507     162.069
280     150.404     161.486
281     149.206     160.848
282     149.206     160.126
283     146.469     159.544
284     146.469     159.312
285     146.469     158.732
286     146.469      158.26
287       145.1     157.692
288       145.1     157.096
289       145.1     156.603
290      144.94     156.226
291     141.182     155.774
292     141.182      155.36
293     141.182     154.956
294     141.182     154.363
295     141.182     153.889
296     141.182     153.616
297     141.182     153.051
298     141.182     152.509
299     141.182     152.038
300     141.182     151.559
301     141.182     151.162
302     141.182     150.693
303     140.683     150.347
304     140.683     150.088
305     140.683     149.647
306     140.683     149.225
307     140.683      148.92
308     140.683     148.564
309     140.683     148.322
310      139.49     147.972
311      139.49     147.624
312      139.49     147.239
313     138.478     146.905
314     138.478     146.708
315     138.478     146.442
316     138.314     146.163
317     138.314     145.965
318     138.314     145.458
319     138.314     145.329
320     138.314     145.084
321     136.604     144.793
322     136.604     144.469
323     136.604     144.203
324     136.604     144.077
325      134.61     143.903
326      134.61     143.532
327     133.767     143.312
328     133.767     143.043
329     133.767     142.783
330     133.767     142.481
331     133.767     142.213
332     133.767         142
333     133.767     141.857
334     133.767     141.569
335     133.767     141.279
336     133.767     141.058
337     133.767     140.851
338     133.767     140.593
339     133.767     140.223
340     133.353      140.06
341     133.353     139.872
342     132.041     139.603
343     132.041     139.241
344     132.041     138.993
345     132.041     138.735
346     132.041     138.468
347     132.041     138.151
348     132.041     137.915
349     131.752     137.674
350     131.752     137.528
351     131.752     137.319
352     131.752     137.163
353     131.752     136.941
354     131.752     136.724
355     131.752     136.556
356     130.467     136.339
357     130.467     136.198
358     130.467      135.88
359     130.094     135.665
360     130.094     135.633
361     130.094     135.429
362     130.094     135.168
363     130.094      134.97
364      129.89     134.733
365      129.89     134.603
366     129.737     134.439
367     129.658     134.252
368     129.658     134.075
369     129.658     133.887
370     128.812     133.661
371     128.812     133.549
372     128.812     133.397
373     128.812     133.257
374     128.236     133.171
375     128.236     132.943
376     128.236     132.785
377     128.236      132.58
378     128.236     132.436
379     128.236      132.28
380     127.743     132.152
381     126.713     131.998
382     126.713     131.838
383     126.713     131.815
384     126.713     131.701
385     126.713     131.578
386     126.713     131.461
387     126.713     131.394
388     126.713     131.351
389     126.713     131.259
390     126.713     131.138
391     126.713     131.074
392     126.713     130.941
393     126.713     130.825
394     126.713     130.703
395     126.713     130.646
396     126.713     130.612
397     126.713     130.522
398     126.713     130.455
399     126.713     130.449
400     126.713     130.388
401     126.713      130.32
402     126.713     130.207
403     126.713     130.076
404     126.713     130.034
405     126.713     129.952
406     126.713      129.83
407     125.278     129.701
408     125.278     129.648
409     125.278     129.553
410     125.278     129.413
411     125.278     129.391
412     125.278     129.276
413     125.278     129.253
414     125.278     129.188
415     125.278     129.132
416     125.278      129.07
417     125.278     128.995
418     125.278     128.849
419     125.278     128.777
420     125.278     128.654
421     125.278     128.607
422     125.096     128.547
423     125.096     128.438
424     124.543     128.367
425     124.543     128.264
426     124.543     128.179
427     124.543     128.067
428     124.418     127.982
429     124.418     127.913
430     123.727     127.786
431     123.727     127.652
432     123.727     127.563
433     122.614     127.541
434     122.614     127.423
435     122.614     127.314
436     122.614     127.188
437     122.614     127.109
438     122.614     126.994
439     122.614     126.839
440     122.244     126.741
441     122.244     126.579
442     122.047     126.476
443     121.995     126.389
444     121.995     126.241
445      121.38     126.145
446      121.38     126.025
447      121.38     125.909
448      121.38     125.737
449      121.38     125.583
450      121.38     125.507
451      121.38     125.429
452      121.38      125.32
453      121.38     125.153
454     120.891     125.045
455     120.891     124.957
456     120.839     124.839
457     120.839     124.672
458     120.839     124.593
459     120.839     124.513
460     120.839     124.417
461     120.839     124.306
462     120.839     124.152
463     120.336     124.012
464     120.336     123.958
465     120.336     123.853
466     120.336     123.809
467     120.336     123.655
468     120.336     123.595
469     120.336     123.499
470     120.336     123.397
471     120.336     123.304
472     117.919      123.24
473     117.919     123.059
474     117.919     123.028
475     117.919     123.005
476     117.919     122.945
477     117.919     122.932
478     117.919     122.903
479     117.919     122.842
480     117.919       122.8
481      117.51     122.747
482      117.51     122.612
483      117.51     122.576
484      117.51     122.444
485      117.51     122.338
486      117.51     122.293
487      117.51     122.158
488     117.371     122.089
489     117.371     121.974
490     117.371     121.892
491     117.371     121.782
492     117.371     121.672
493     117.371     121.547
494     117.371     121.428
495       116.6     121.287
496       116.6     121.123
497       116.6     121.054
498       116.6     120.914
499       116.6     120.821
500       116.6     120.767
501       116.6     120.604
502     115.682      120.45
503     115.682      120.31
504     115.682     120.239
505     115.329     120.046
506     115.329     120.003
507     115.329     119.885
508     115.329     119.766
509     115.329     119.637
510     115.329     119.462
511     114.502      119.29
512     114.502     119.192
513     114.502      119.05
514     114.502      118.94
515     113.332     118.811
516     113.332     118.719
517     113.332     118.542
518     113.332     118.418
519     113.332     118.356
520     113.265     118.221
521     113.265     118.059
522     113.265     117.916
523     113.265     117.823
524     113.265     117.735
525     112.306     117.527
526     112.306     117.456
527     112.306     117.399
528     112.306     117.243
529     112.306      117.06
530      111.65      116.97
531      111.65     116.854
532      111.65     116.805
533     111.389     116.676
534     111.389     116.574
535     111.389     116.527
536     111.389     116.418
537     111.389     116.301
538     111.389     116.147
539     111.389     116.083
540     111.389      115.96
541     111.389     115.869
542     111.389     115.759
543     111.389     115.717
544     111.389     115.678
545     111.389     115.682
546     111.389     115.633
547     111.389     115.582
548     111.298     115.411
549     111.022     115.278
550     111.022     115.211
551     111.022     115.134
552     110.814     115.023
553     110.814     114.941
554     110.814     114.843
555     110.814     114.764
556     110.814     114.716
557     110.814     114.635
558     110.814     114.547
559     110.814     114.416
560     110.814     114.374
561     110.814      114.25
562     110.814     114.166
563     110.814      114.09
564     109.719     114.003
565     109.719     113.928
566     109.719     113.924
567     109.719     113.789
568     109.719     113.722
569     109.719     113.728
570     109.719     113.671
571     109.719     113.577
572     109.619     113.464
573     109.538     113.441
