GEN:      BEST_LOSS:      AVERAGE_LOSS: 
0     34.0573     40.1515
1     33.9555     38.4795
2     30.5719     37.4099
3     28.4518     37.0182
4      28.246     35.9254
5     27.2399     35.1865
6     26.9742     34.3475
7     27.4281     34.6106
8      24.946     34.6533
9     27.1613     34.5267
10     25.8173     34.3359
11     25.4976     34.3158
12     25.9099     34.5359
13     27.0788     34.2327
14     24.7244     34.3723
15     25.9004     34.7577
16     24.2974     34.2722
17     24.9256      34.451
18     24.8796     34.1533
19     25.0555     33.5065
20     25.7017     34.0546
21     26.0044     34.5288
22     24.8276     34.5955
23     25.0225     34.6535
24     25.0193     34.4565
25     24.0568     34.3229
26     24.0568     34.1213
27     24.9084      34.115
28     24.9084     34.3674
29     25.7395     34.2681
30     24.9093     34.1033
31       24.18     34.3092
32     23.4176     34.0778
33      24.207     34.1518
34     24.1848     33.8622
35     24.1848     33.8117
36     22.7113     33.7376
37      23.721     33.5824
38      23.721     33.6103
39     24.1553     33.6791
40     23.2447     33.8518
41     24.0581     33.9919
42      24.054     33.5961
43     24.6132      33.633
44      25.378     34.3404
45     25.3746     34.4968
46       26.08     34.8097
47     24.4982      34.641
48     24.8947     34.4321
49     24.9586      34.199
50     26.2459     34.4249
51     25.7129     34.5175
52     25.2065     34.8369
53     26.5822     34.6381
54     25.2529     34.9197
55     25.3831     34.7175
56     26.0985     34.8657
57     23.5746     34.6132
58     23.5746     34.5263
59     23.5746     34.4275
60     26.6113     34.4418
61     26.1435     34.3501
62      25.864     34.2289
63     22.5686     33.8493
64     21.8407     33.5998
65     24.4877     33.8722
66      24.247     33.5819
67     25.0737     33.7458
68     25.3469     33.9276
69     25.5819      33.846
70     24.8535     33.7108
71     23.8751     33.6235
72     24.8137     33.7769
73     23.0074     33.8685
74     25.1492     33.8218
75     24.5509     33.9891
76     24.5509     34.1202
77       25.53     34.5418
78     24.1194     34.5203
79     25.9241     34.8084
80     25.1629     34.3954
81     25.1629     34.3289
82     24.5596     34.4448
83     25.5767     34.6213
84     24.5059     34.9249
85     27.0165     35.1354
86     27.3638     34.9517
87     26.0651     34.6701
88     25.4087     34.4688
89     23.9046      34.054
90     23.9046     34.0004
91     25.4864     34.0068
92     25.7545     33.9827
93     24.9379     34.1524
94     24.6609     34.3992
95     24.6955     34.1054
96     25.4796     34.2354
97     25.4796     34.2146
98     24.9392     33.9785
99     25.0693     34.2372
