GEN:      BEST_LOSS:      AVERAGE_LOSS: 
0     416.928     497.963
1     416.928     489.522
2     416.928     481.946
3     409.143     474.965
4     409.143      468.63
5     409.143     462.857
6     409.143     457.714
7     401.935     453.176
8     401.935     448.623
9     400.217     444.873
10     400.217     440.821
11     383.002     437.211
12     381.637     433.965
13     381.637     430.919
14      379.83     427.998
15      379.83     425.472
16     364.391     420.449
17     364.391     417.007
18     361.513     412.458
19     336.071     408.308
20     336.071     403.836
21     337.774     398.655
22     337.774     394.105
23      328.63     389.866
24      328.63     385.924
25      328.63     382.634
26      328.63     379.736
27      324.12     376.858
28      324.12     374.666
29      324.12     372.243
30      324.12     369.929
31     320.628     367.026
32     320.628     364.527
33     307.973     361.421
34     307.973     358.399
35      306.84     355.508
36     307.546     351.726
37     307.546     348.876
38     307.546     346.313
39      296.85     344.074
40      296.85     342.195
41      296.85     339.977
42     289.286     337.785
43     289.286     335.686
44     289.286      333.52
45     289.286     331.563
46     285.588      329.21
47     285.588     326.858
48     285.588     325.278
49     285.588     323.456
50     285.588      321.94
51     282.717       319.5
52     282.717     317.729
53     275.116     316.228
54     275.116     314.061
55     275.116     312.105
56      267.46     309.633
57      267.46     307.447
58      267.46     305.531
59      267.46     302.657
60     256.973     300.129
61     256.973     298.587
62     256.973     296.564
63     256.973     295.061
64     256.973     293.098
65     256.973     291.384
66     256.973     289.884
67     243.713     288.473
68     243.713     286.863
69     243.713      285.47
70     243.713     284.123
71     243.713     282.733
72     243.713     281.358
73     243.713     279.909
74     243.713     278.947
75     243.713     277.827
76     243.713     276.439
77     243.713     275.278
78     243.713     273.984
79     243.713     272.472
80     242.581     271.207
81     241.936     270.514
82     241.936     269.484
83     241.936     268.254
84     241.936      267.17
85     241.936     266.156
86     241.936     265.198
87     241.778     264.375
88     238.805     263.467
89     236.234      262.61
90     236.234     261.552
91     236.234     260.882
92     234.659     259.868
93     234.659     258.778
94     232.392     257.894
95      226.07     257.148
96     226.887     255.713
97     225.695     254.324
98     221.594     253.045
99     221.594     251.812
100     221.594     250.696
101     225.695     249.669
102     225.695     248.502
103      221.83     247.413
104     220.174     246.267
105     220.174     245.019
106     217.859     244.444
107     217.859     243.614
108     217.859     242.628
109     217.859     241.792
110     217.859     240.607
111     217.859     239.459
112     217.003     238.824
113     213.316     237.932
114     213.316     237.299
115     213.316     236.204
116     213.316     235.383
117     211.475     234.262
118     211.475     233.303
119     211.475     232.348
120     209.945     231.399
121     204.623     230.469
122     204.623      229.41
123     202.737     228.637
124     202.737     227.807
125     202.737      226.91
126     202.737     225.897
127     202.737      225.46
128     202.737     224.896
129     202.737     224.285
130     198.644     223.685
131     202.737      222.75
132     198.903     221.942
133     198.903     221.406
134     198.903     220.775
135     191.959     220.124
136     196.749     219.511
137     196.749     218.724
138     196.749     217.869
139     196.749      217.27
140     196.749     216.784
141     191.536     216.304
142     191.536     215.886
143     191.536     215.522
144     191.536     215.258
145     191.536     214.479
146     191.536     213.772
147     191.536     212.998
148     191.536      212.31
149     191.536     211.924
150     191.536      211.74
151      186.69     211.062
152      186.69      210.36
153      186.69      209.88
154      186.69     209.365
155      186.69      208.88
156     184.424     207.921
157     184.424     207.024
158     184.424      206.35
159     184.424      205.45
160     184.424     204.811
161     170.066     203.235
162     170.066     202.341
163     170.066     201.361
164     170.066     200.223
165     170.066     199.592
166     170.066     198.894
