GEN:      BEST_LOSS:      AVERAGE_LOSS: 
0     438.017     500.789
1     438.017     493.887
2     438.017     488.105
3     438.017     481.982
4     432.981     477.032
5      429.16     472.697
6     415.705     467.734
7     407.091     462.567
8     407.091     457.572
9     394.718     452.975
10     394.718     448.004
11     392.568     443.411
12     392.549     438.731
13     377.851     434.549
14     376.484     429.998
15     371.585     425.488
16     371.585     421.399
17     371.585     418.131
18     371.585     415.221
19     366.421     411.904
20     366.421     408.575
21     366.421     406.174
22     366.246     403.539
23     359.895     401.256
24     359.895     398.727
25     355.173     395.935
26     355.173     393.418
27     341.953     391.757
28     341.953     389.537
29     341.953     387.344
30     341.953     385.542
31     341.953     383.711
32     331.552     381.894
33     331.552     379.823
34     331.552     378.054
35     331.552     375.824
36     331.552      373.75
37     331.552     371.753
38     331.552     369.741
39     331.552     367.518
40     324.064     365.553
41     324.064     363.651
42     324.064      361.37
43      316.06     359.207
44      316.06      357.16
45      316.06     355.034
46     314.721     353.542
47     314.721     351.432
48     314.721     349.794
49     314.477     347.749
50     314.477     346.418
51     308.308     344.529
52     308.308     342.724
53     308.308     341.243
54     306.696     339.575
55     300.702     337.515
56     300.702     336.066
57     300.702     334.367
58     300.702     333.191
59     298.201     331.753
60     293.871     330.379
61     283.241     328.718
62     283.241     327.195
63     283.241     325.498
64     283.241     324.008
65     283.241     322.617
66     283.241     320.919
67     281.453     319.453
68     281.453     318.163
69     281.453     317.179
70     281.069     316.197
71     281.069     314.767
72     269.201     312.908
73     269.201     311.544
74     269.201     309.966
75     269.201      308.56
76     269.201     307.107
77     269.201     306.186
78     269.201     305.135
79     269.201     304.026
80     269.201     302.823
81     269.201     301.578
82     269.201     300.655
83     269.201     299.358
84     269.201     298.484
85     269.201     297.773
86     269.201     296.609
87     269.201     295.641
88     269.201      294.58
89     253.386     293.391
90     253.386     292.734
91     253.386     291.871
92     253.386     290.917
93     253.386     289.885
94     253.386      289.26
95     253.386     288.388
96     253.386      287.63
97     253.386      287.04
98     253.386      286.08
99     253.386     285.504
100     253.386     284.834
101     253.386     284.202
102     253.386     283.514
103     253.386     282.869
104     253.386      282.26
105     253.386     281.672
106     231.849      280.75
107     231.849     279.855
108     231.849     278.899
109     231.849     278.326
110     231.849      277.78
111     231.849     276.892
112     231.849     276.185
113     231.849     275.607
114     231.849     274.746
115     231.849     274.171
116     231.849      273.39
117     231.849     272.541
118     231.849     271.826
119     231.849     271.244
120     231.849     270.771
121     231.849      270.05
122     231.849     269.378
123     231.849     268.709
124     231.849     267.978
125     231.849      267.03
126     231.849     266.475
127     231.849      265.37
128     231.849     264.819
129     231.849      264.01
130     231.849     263.323
131     231.849      262.87
132     231.849     262.527
133     231.849     261.847
134     231.849     261.453
135     231.849     260.802
136     213.586     259.985
137     213.586     259.206
138     213.586     258.453
139     213.586     257.694
140     213.586     257.033
141     213.586     256.257
142     213.586     255.377
143     213.586     254.679
144     213.586     253.857
145     213.586      252.58
146     213.586      251.98
147     213.586     251.136
148     213.586     250.367
149     213.586     249.496
150     213.586     248.583
151     213.586     247.701
152     213.586     246.384
153     213.586     245.439
154     213.586     244.366
155     213.586     243.296
156     207.022     242.088
157     207.022     240.939
158     207.022     240.123
159     207.022     238.994
160     207.022     238.264
161     204.998     237.357
162     204.998     236.246
163     204.998     235.204
164     204.998     233.792
165     204.998     232.751
166     195.256     231.756
167     195.256     230.637
168     195.256     229.377
169     195.256     228.223
170     195.256     227.009
171     195.256     225.525
172      186.41     224.413
173      186.41     223.609
174      186.41     222.211
175      186.41     221.147
176      186.41     219.861
177      186.41     218.684
178      186.41      217.45
179      186.41     216.336
180      186.41     215.567
181     188.954     214.548
182     188.954     213.442
183     188.954     212.507
184     188.954     211.229
185     187.131      210.27
186     187.131     209.237
187     187.131     208.595
188     187.131     207.857
189     184.755     206.964
190     184.755     205.779
191     184.755     204.866
192     184.755     203.874
193     184.755     202.975
194     184.755     202.091
195     182.886     201.244
196     182.886     200.238
197     182.133     199.359
198     182.133     198.631
199     182.133     197.733
200     182.133     197.209
201     182.133      196.35
202     177.179     195.633
203     177.179     194.972
204     177.179     194.199
205     177.179     193.579
206     177.179     193.038
207     176.384     192.545
208     176.384     191.754
209     176.384     191.097
210     176.384     190.393
211     176.384     189.951
212     175.175     189.466
213     170.484     189.167
214     170.484     188.667
215     170.484     188.255
216     170.484     187.707
217     170.484     187.342
218     170.484     186.891
219     170.484     186.531
220     170.484     186.093
221     170.484     185.696
222     170.484     185.185
223     170.484     184.675
224     170.484     184.473
225      168.93     183.952
226      168.93     183.635
227      168.93     183.114
228       166.4      182.64
229       166.4     182.129
230       166.4      181.93
231     164.649     181.592
232     160.981     181.183
233     160.981     180.785
234     160.981     180.559
235     160.981     180.179
236     160.488     179.782
237     160.488     179.376
238     160.488     178.821
239     160.488     178.202
240     158.605     177.739
241     158.605     177.529
242     158.605     177.148
243     158.605     176.551
244     158.605     176.204
245     158.605     175.717
246     158.605     175.488
247     158.605     175.112
248     158.605     174.834
249     158.605     174.062
250     158.605     173.906
251     157.526     173.443
252     157.526      172.74
253     157.216     172.238
254     157.216     171.913
255     157.216     171.553
256      156.67     171.081
257      156.67     170.449
258     151.613     169.944
259     151.613      169.51
260     151.613     169.192
261     151.613     168.852
262     151.613     168.518
263     151.613      168.14
264     151.613     167.858
265     151.613     167.735
266     151.613     167.552
267     151.613     167.244
268     151.613     166.967
269     151.613     166.868
270     151.613     166.654
271     151.613     166.407
272     151.613     166.155
273     151.613     165.878
274     151.613     165.633
275     151.613     165.376
276     151.613     165.194
277     151.613      165.24
278     151.613     164.979
279     151.613     164.646
280     151.613     164.422
281     151.613     164.407
282     151.613     164.123
283     151.613     163.735
284     149.981     163.517
285     149.349     163.206
286     149.349     162.986
287     149.349     162.674
288     149.349     162.373
289     149.349     162.146
290     149.349     161.746
291     149.349     161.362
292     149.349     161.057
293     149.349     160.692
294     149.349     160.396
295     149.349       160.4
296      145.12     160.169
297      145.12     159.852
298      145.12     159.543
299      144.79     159.406
300      144.79     159.218
301      144.79     158.909
302      144.79     158.781
303      144.79     158.483
304      144.79     158.217
305      144.79     158.026
306      144.79     157.861
307     144.589     157.636
308     143.027     157.318
309     140.794     157.044
310     140.794     156.959
311     140.794     156.681
312     140.794     156.292
313     139.371     155.997
314     139.371     155.712
315     139.371     155.521
316     139.371     155.025
317     139.371     154.662
318     139.371      154.44
319     139.371     154.117
320     139.371     153.981
321     139.738     153.643
322     139.738     153.283
323     139.738     152.933
324     139.738     152.712
325     139.738     152.287
326      137.22     151.974
327      137.22     151.531
328      137.22     151.018
329      136.89     150.722
330      136.89     150.331
331      136.89     149.974
332      136.89     149.689
333      136.89      149.27
334      136.89     148.984
335      136.89     148.507
336     131.826      147.95
337     131.826     147.524
338     131.826     147.211
339     131.826      146.89
340     131.826      146.58
341     131.826     146.179
342     131.826      145.85
343     131.826      145.54
344     131.826     145.204
345     131.826     144.897
346     131.826     144.598
347     131.826     144.201
348     131.826     143.807
349     131.826     143.539
350     131.826     143.175
351     131.826     143.063
352     131.826     142.787
353     127.913     142.566
354     127.913      142.23
355     127.913     141.844
356     127.913     141.519
357     127.913     141.346
358     127.913     141.127
