GEN:      BEST_LOSS:      AVERAGE_LOSS: 
0       416.9     499.297
1       416.9     492.473
2       416.9     486.023
3       416.9     479.939
4     416.403     474.076
5     414.551     469.542
6     410.907     465.124
7     409.924     460.179
8     409.924     455.867
9     408.878     451.432
10     404.268     447.564
11      402.28     442.789
12     401.523     439.364
13     385.456     436.473
14     385.456     432.714
15     385.456     429.916
16     385.456     426.629
17     379.943     423.566
18     379.943     420.178
19     376.625     417.559
20     376.202     414.224
21     376.202     412.131
22     374.369     409.696
23     374.369     407.158
24      369.25     404.162
25     362.508     401.266
26     362.508     398.559
27     350.105     395.915
28     350.105     393.845
29     350.105     391.625
30     350.105     389.724
31     347.386     387.548
32     337.438     385.432
33     337.438     382.551
34     337.438     380.061
35     335.555     377.186
36     324.456     374.158
37     324.456     370.847
38     324.456     368.169
39     318.909     365.299
40     318.909     362.152
41     318.909     359.391
42     318.366     356.915
43     313.587      354.49
44     313.587     352.301
45     313.587     350.192
46     313.587     348.361
47     307.939     346.934
48     301.041     345.034
49     301.041     343.246
50     301.041     341.456
51     301.041     339.365
52     299.134     337.328
53     299.134     335.917
54     299.134     334.028
55     299.134     332.656
56     294.699     331.022
57     294.699     329.308
58     294.699     327.995
59     294.699     326.188
60     293.375     324.755
61     275.707      323.03
62     275.707     321.202
63     275.707       319.6
64     275.707     317.563
65     275.707      316.11
66      274.42     314.268
67      274.42     312.687
68     269.977     310.863
69     269.977     309.362
70     269.977      307.68
71     273.708     306.538
72     273.708     305.316
73     272.587     303.962
74     272.587     302.789
75     272.587     301.731
76     269.951     300.287
77     269.951     299.576
78     261.988     298.261
79     261.988     296.768
80     257.225      295.35
81     257.225     294.084
82     257.225     292.659
83     248.742     291.141
84     248.742     290.058
85     248.742     288.899
86      241.64     287.519
87     240.825     286.392
88     240.825     284.865
89     240.825     283.233
90     240.825     280.929
91     240.825     279.382
92     240.825     277.441
93     240.825     275.383
94     228.131     273.328
95     228.131     271.525
96     228.131     269.807
97     228.131     268.366
98     228.131      266.34
99     228.131      265.01
100     228.131      263.47
101     228.131     261.869
102     228.131     260.745
103     228.131     259.715
104     228.131     258.299
105     228.131     257.208
106     228.131     256.365
107      227.56     255.124
108      227.56     254.832
109      227.56      254.43
110      227.56     253.594
111      227.56     252.984
112      227.56     252.534
113      227.56     251.889
114     219.568     251.475
115     219.568     250.872
116     219.568     250.196
117     219.568      249.41
118     219.568     248.495
119     219.568     247.591
120     219.568      246.82
121     219.568     246.369
122     219.568     245.781
123     219.568      245.18
124     219.568     244.589
125     219.568     243.544
126     218.917     242.909
127     215.444     242.064
128     215.444     241.346
129     215.444     240.827
130     214.729     240.186
131     214.729     239.694
132     214.729     239.088
133     208.298     237.839
134     208.298     237.345
135     208.298     236.427
136     208.298     235.907
137     208.298     235.164
138     206.359     234.407
139     206.359     233.716
140     206.359      232.56
141     206.359     231.651
142     206.359      230.99
143     206.359     230.459
144     206.359     229.689
145     206.359     228.793
146     206.359     228.533
147     200.465     227.565
148     200.465      226.62
149     200.465     225.989
150     200.465       225.1
151     200.465     224.534
152     200.465     223.725
153     200.465     223.247
154     200.465      222.62
155     193.689     221.886
156     193.689     221.303
157     193.253     220.634
158     193.253     219.935
159     193.253     219.418
160     193.253      218.97
161     193.253     218.431
162     193.253     217.693
163     193.253     217.174
164     193.253     216.944
165     193.253     216.425
166     193.253     215.948
167     193.253     215.707
168     193.253     215.208
169     193.253     214.885
170     193.253     214.083
171     193.253     213.088
172     189.577     212.546
173     189.577     211.708
174     189.577      210.76
175     189.577     210.124
176     189.577     209.312
177     189.577     208.656
178     189.577     208.056
179     189.577     207.748
180     189.577     207.276
181     186.784     206.684
182     186.784     206.235
183     186.784     205.699
184     186.784     205.434
185     186.784     205.064
186     186.784     204.514
187     186.784     204.317
188     186.784     203.867
189     186.784     203.316
190     186.784     203.066
191     184.251     202.702
192     184.251     202.177
193     184.251     201.997
194     184.207       201.6
195     184.207     201.147
196     180.631     200.776
197     180.631     200.503
198     180.631     200.046
199     180.631     199.576
200     180.631     199.298
201      177.53     198.929
202      177.53     198.477
203      177.53     198.094
204      177.53     197.312
205      177.53     196.589
206      177.53     196.357
207      177.53     195.788
208      177.53     195.089
209      177.53     194.707
210      177.53     194.358
211      177.53     193.706
212      177.53     193.054
213      177.53     192.572
214      177.53     192.099
215     175.415     191.661
216     175.415      191.21
217     175.388     190.959
218     175.388     190.595
219     175.388     190.229
220     175.388     189.968
221     168.191     189.556
222     168.191     189.176
223     168.191      188.86
224     168.191     188.501
225     168.191     188.017
226     168.191     187.561
227     168.191     187.131
228     168.191     186.868
229     168.191     186.584
230     168.191     186.313
231     168.191     185.988
232     168.191     185.696
233     168.191     185.088
234     168.191     184.581
235     168.191     184.144
236     168.191     183.744
237     160.778     183.479
238     160.778     183.102
239     160.778      182.86
240     160.778       182.4
241     160.778     181.905
242     160.778     181.537
243     160.778     181.175
244     160.778     180.814
245     160.778     180.514
246     160.778      180.04
247     160.778     179.736
248     160.253     179.269
249     160.253      178.87
250     160.253     178.612
251     157.294     178.204
252     157.294     178.133
253     157.294     177.686
254     157.294     177.301
255     157.294     176.623
256     157.294     176.258
257     157.294     176.008
258     157.294      175.73
259     157.294     175.281
260     157.294     174.879
261     155.267     174.409
262     155.267     174.072
263     155.267      173.67
264     155.267     173.399
265     155.267     173.094
266     154.854     172.701
267     154.854      172.48
268     154.854     172.253
269     154.854     171.829
270     154.854     171.541
271     151.675     171.196
272     151.675     170.714
273     151.675     170.589
274     151.675     170.369
275     151.675     169.994
276     151.675     169.835
277     151.675     169.566
278     151.675     169.123
279     151.675     168.849
280     151.675     168.288
281     151.675     168.123
282     151.675     167.861
283     151.675      167.41
284     151.441     166.992
285     151.441     166.543
286     151.441     166.237
287     151.441     165.697
288     151.441     165.303
289     151.441     164.738
290     151.441     164.409
291     147.466     164.002
292     147.466     163.871
293     147.466     163.528
294     147.466     163.293
295     147.466     163.121
296     147.466     162.707
297     147.466     162.471
298     147.466     162.137
299     147.466     161.627
300     147.466     161.334
301     147.466     161.003
302     146.327     160.538
303     146.327     160.113
304     146.327     159.903
305     146.327     159.605
306     146.327     159.336
307     146.327     159.183
308     146.327     158.905
309     146.327     158.771
310     146.327     158.652
311     131.514     158.389
312     131.514     158.213
313     131.514     157.956
314     131.514     157.756
315     131.514     157.452
316     131.514     157.238
317     131.514     157.063
318     131.514     156.728
319     131.514     156.453
320     131.514     156.128
321     131.514     155.794
322     131.514     155.573
323     131.514      155.33
324     131.514      155.27
325     131.514     155.255
326     131.514     154.995
327     131.514     154.629
328     131.514     154.392
329     131.514     154.072
330     131.514     153.754
331     131.514     153.418
332     131.514     153.088
333     131.514     152.798
334     131.514     152.483
335     131.514     152.297
336     131.514     151.891
337     131.514      151.56
338     131.514      151.22
339     131.514     150.979
340     131.514     150.611
341     131.514     150.256
342     131.514     149.968
343     131.514     149.593
344     131.514     149.389
345     131.514     149.126
346     131.514     148.788
347     131.514     148.477
348     131.514     148.213
349     131.514     147.978
350     131.514     147.455
351     131.514     147.181
352     131.514     147.015
353     131.514     146.565
354     131.514     146.264
355     131.514     145.801
356     131.514     145.562
357     131.514     145.224
358     131.514     144.755
359     131.514     144.431
360     131.514      144.23
361     131.514     143.967
362     131.514     143.636
363     131.514     143.439
364     131.514     143.283
365     129.469     142.859
366     129.469     142.585
367     129.469     142.382
368     128.063     142.245
369     128.063     141.996
370     128.063     141.702
371     128.063     141.481
372     128.063     141.258
373     125.622     140.987
374     125.622     140.563
375     125.622     140.301
376     125.622     140.174
377     125.622     140.036
378     125.622      139.77
379     125.622     139.663
380     125.622      139.58
381     125.622      139.44
382     125.622     139.282
383     125.622     139.035
384     125.622     138.873
385     125.622     138.622
386     125.622     138.502
387     125.622     138.251
388     125.622     138.124
389     125.622      138.08
390     125.622     137.776
391     125.622     137.517
392     125.313     137.095
393     125.313     136.786
394     125.313     136.585
395      124.62     136.282
396     123.246     135.993
397     123.246     135.744
398     123.246     135.495
399     123.246     135.154
400     123.246     134.934
401     123.246     134.576
402     123.246     134.441
403     122.532     134.181
404     122.532     133.934
405     122.532     133.624
406     122.532     133.361
407     122.532     133.021
408     122.292     132.893
409     122.292     132.493
410     119.618      132.25
411     119.618     131.984
412     119.618     131.801
413     119.328     131.524
414      118.26     131.261
415      118.26      131.01
416     118.192     130.891
417     118.192     130.423
418     118.192     130.006
419     118.192     129.736
420     115.822     129.435
421     115.822     129.082
422     115.822     128.827
423     115.822      128.52
424     115.822     128.281
425     115.822     127.982
426     115.822     127.771
427     115.822     127.435
428     115.822     127.057
429     115.822     126.702
430     115.822     126.309
431     115.822     126.064
432     114.286     125.634
433     114.286     125.328
434     114.286     124.902
435     114.286      124.61
436     114.286     124.361
437     114.286     123.939
438     114.286     123.785
439     114.286     123.193
440     114.286     122.826
441     114.286     122.457
442     114.286      121.88
443     113.808     121.685
444     113.808     121.342
445     113.808     120.992
446     113.808     120.676
447     113.808     120.384
448     113.808     120.074
449     113.808     119.771
450     113.808     119.444
451     113.808     119.335
452     113.808     119.028
453     113.347     118.731
454     112.602     118.548
455     112.602     118.316
456     112.602     118.147
457     112.079     117.953
458       109.6      117.72
459       109.6     117.564
460       109.6     117.411
461       109.6     117.262
462       109.6     116.979
463       109.6     116.782
464       109.6     116.679
465       109.6     116.384
466       109.6     116.255
467       109.6     116.116
468       109.6     115.986
469       109.6     115.867
470       109.6     115.671
471       109.6     115.458
472     108.475     115.197
473     108.475     115.035
474     108.475      114.88
475     108.475     114.755
476     108.475     114.646
477     108.475     114.439
478     108.475     114.348
479     108.213     114.235
480     108.213     114.035
481      107.43     113.843
482      107.43     113.628
483     106.564     113.426
484     106.564     113.282
485     106.564     113.126
486     106.564     113.032
487     106.564     112.857
488     106.564     112.674
489     106.414     112.513
490     106.414     112.349
491     106.414     112.206
492     106.414     112.117
493     106.414     111.804
494     106.414     111.651
495     106.414     111.648
496     106.414     111.562
497     106.414      111.34
498     106.414      111.27
499     106.414     111.185
500     106.414     111.048
501     106.414     111.015
502     106.414     110.872
503     106.414     110.787
504     106.414     110.687
505     106.289     110.535
506     105.212     110.446
507     105.212      110.37
508     105.212     110.314
509     105.212     110.199
510     105.212     110.106
511     105.212     110.095
512     105.212     110.048
513     105.212      109.86
514     105.212     109.761
515     105.212      109.72
516     105.212     109.573
517     105.212     109.495
518     104.769     109.267
519     104.769     109.143
520     104.769     109.055
521     104.769     108.944
522     103.947     108.931
523     103.811     108.784
524     103.811     108.581
525     103.811     108.517
526     103.469     108.388
527     103.469     108.288
528     103.469     108.132
529     103.469     107.988
530     103.469     107.829
531     103.469      107.74
532     102.431     107.627
533     102.431     107.485
534     102.431     107.376
535     102.431     107.215
536     102.431     107.015
537     102.373     106.888
538     102.373     106.756
539     102.373     106.566
540     102.373     106.425
541     102.029     106.338
542     102.029     106.211
543     101.525     106.067
544     101.525     105.959
545     100.585     105.858
546     100.585     105.782
547     100.585     105.719
548     100.585     105.632
549     100.585     105.466
550      100.26     105.287
551      100.26     105.253
552      100.26     105.225
553      100.26     105.094
554      100.26     104.912
555      100.26     104.815
556      100.26     104.696
557      100.26     104.521
558      100.26     104.414
559     99.9647     104.344
560     99.7301     104.126
561     99.7301     103.967
562     99.7301     103.818
563     99.7301     103.664
564     99.7301     103.536
565     99.7301     103.468
566     98.9124     103.374
567     98.9124      103.23
568     98.9124     103.036
569     98.9124     102.935
570     98.9124     102.789
571      98.005     102.718
572      98.005     102.579
573     97.8028     102.477
574     97.6281     102.298
575     97.6281     102.145
576     97.6281     102.076
577     97.6281     101.949
578     97.6281     101.828
579     97.6281     101.727
580     97.6281     101.613
581     95.7023     101.403
582     95.7023     101.236
583     95.7023     101.133
584     95.7023     101.013
585     95.7023     101.037
586     95.7023     100.888
587     95.7023     100.758
588     95.7023     100.583
589     95.7023       100.5
590     95.7023     100.465
591     95.7023     100.378
592     95.7023     100.293
593     95.7023     100.223
594     95.7023      100.19
595     95.7023     100.145
596     95.7023     100.075
597     95.7023     99.9885
598     95.7023     99.8728
599      94.122     99.7582
600      94.122     99.6455
601      94.122     99.4838
602      94.122     99.4042
603      94.122      99.313
604      94.122     99.2422
605      94.122     99.1875
606      94.122     99.1191
607      94.122      99.002
608      94.122     98.9782
609      94.122      98.856
610      94.122     98.8228
611      94.122     98.6294
612      94.122     98.4873
613      94.122     98.4078
614      94.122     98.2627
615     93.7586     98.0833
616     93.7586     97.9286
617     93.7586     97.8556
618     93.7586     97.7287
619     93.7586     97.6745
620     93.7586     97.5507
621     93.7586     97.4299
622      93.456      97.288
623     92.8042     97.0949
624     92.7013     97.0691
625     92.4902     96.9273
626     92.4902     96.7623
627     92.4902     96.6278
628     92.4902      96.471
629     92.4902     96.3102
630     91.4327     96.1998
631     91.4327     96.1086
632     91.4327      95.934
633     91.4327     95.7886
634     91.4327     95.6951
635     91.4327     95.4817
636     91.4327     95.3774
637     91.4327     95.2571
638     91.4327     95.1135
639     91.4327     95.0021
640     91.4327     94.8804
641     91.4327        94.7
642     91.4327     94.5268
643     91.3418     94.4371
644     91.3418        94.4
645     91.3418     94.3972
646     91.3418     94.3482
647     91.3418     94.2643
648     91.3418     94.1914
649     91.3418     94.1125
650     91.3418     94.0381
651     91.3418     94.0522
652     91.3418     93.9684
653     91.3418     93.8597
654     91.3418     93.8237
655     91.3418     93.7036
656     91.4327     93.5872
657     91.0717     93.5413
658     90.7643     93.4874
659     90.7643     93.4284
660     90.7643     93.3996
661     90.7643     93.3415
662     90.7643     93.2509
663     90.7643     93.1664
664     90.7643     93.0778
665     90.7643     92.9959
666     90.7643     92.8709
667     90.7643     92.7618
668     90.7643     92.7018
669     90.7643     92.6677
670     90.7643     92.5758
671     90.7643     92.5006
672     90.7643      92.449
673     90.7643     92.3716
674     90.7322     92.2995
675     90.7322     92.2475
676     90.2041     92.1844
677     90.2041     92.0775
678     90.2041      92.011
679     90.1533     91.9087
680     90.1533     91.8526
681     88.6409     91.8294
682     88.6409     91.7487
683     88.6409      91.696
684     88.6409     91.6494
685     88.6409     91.5834
686     88.6409     91.5261
687     88.6409     91.4784
688     88.6409     91.4405
689     88.6409      91.391
690     88.6409     91.3611
691     87.9978     91.3605
