GEN:      BEST_LOSS:      AVERAGE_LOSS: 
0      428.89      499.49
1      428.89      491.84
2      428.89     485.624
3      428.89     479.678
4     416.691     473.436
5     413.787     467.425
6     409.342     461.625
7     405.114     456.658
8     387.445     451.734
9     387.445     447.533
10     387.445     443.948
11     387.445     439.939
12     387.445     437.114
13     387.445      433.99
14     378.899     430.983
15     378.899     428.304
16     378.899     425.337
17     378.899      422.32
18      378.48     419.537
19      378.48     417.153
20      378.48     414.142
21     370.922     411.211
22     348.292     407.661
23     348.292     404.274
24     348.292     400.968
25     344.446     398.046
26     344.446     395.559
27     344.446     392.866
28     344.446     390.244
29     344.446     387.832
30     344.446     385.392
31     337.311     383.369
32     337.311     381.818
33     327.929     379.161
34     324.607     376.401
35     324.607     373.738
36     324.607     370.861
37     324.607     368.054
38     324.607     365.429
39     320.658     362.701
40     318.878     360.134
41     318.878     357.928
42     318.833      355.98
43     318.833     353.643
44     312.577     351.592
45     312.577     349.323
46     310.518     347.228
47     310.518     345.355
48     310.518     343.911
49     310.518     341.856
50     310.518     340.233
51     310.518     338.718
52     310.518      337.34
53     305.369     336.222
54     305.369     334.852
55      299.81     333.538
56      299.81      332.34
57     298.102     330.796
58     298.032     329.595
59     298.032     328.659
60     284.565     327.286
61     284.565     325.969
62     284.565     324.803
63     284.565     323.454
64     284.565     322.403
65     284.565     321.054
66     284.565     319.757
67     284.565     318.616
68     284.565     317.262
69     284.565     316.093
70     284.288     314.529
71     284.288     313.377
72     284.288     312.296
73     284.288     311.293
74     283.625     309.993
75     276.987     308.354
76     276.987     307.172
77     276.987     305.847
78      271.47     304.289
79      271.47     302.592
80     271.221     300.952
81     271.221     299.219
82     266.279     297.309
83     266.279     295.869
84      264.31     294.487
85      264.31     293.158
86     249.465      291.83
87     249.465     290.416
88     249.465     289.189
89     249.465     287.773
90     249.465     286.646
91     249.465     285.675
92     249.465      284.41
93     249.465     283.068
94     249.465     282.137
95     249.465     280.824
96     249.465     279.687
97     249.465     278.537
98     249.465     277.212
99     244.253     275.926
100     244.253     275.063
101     244.253     274.296
102     244.253     272.978
103     244.253     272.238
104     244.253     271.427
105     242.696     270.747
106     242.696     269.738
107     242.696     268.892
108     237.327     267.849
109     237.327     267.044
110     237.327     266.333
111     237.327     265.655
112     237.327     264.952
113     234.292     264.376
114     234.292     263.525
115     234.292     262.795
116     234.292      261.89
117     234.292     260.938
118     230.795     259.775
119     229.849     258.693
120     229.849     258.143
121     229.533     257.134
122     228.673     255.778
123     228.673      254.77
124     228.673     253.539
125     228.673     252.681
126     225.637     251.848
127     225.637     251.254
128     225.637     250.494
129     225.637     249.435
130     225.637     248.629
131     225.637     247.555
132     219.171     246.013
133     219.171     245.091
134     219.171     243.955
135     219.171     242.823
136     219.171     241.532
137     219.171     240.681
138     219.171     239.682
139     219.171     238.728
140     219.171     237.827
141     219.171     236.862
142     213.509     236.237
143     213.509     235.147
144     212.506     234.519
145      205.07     233.972
146      205.07     233.308
147      205.07     232.685
148      205.07     231.943
149      205.07      231.25
150      205.07     230.405
151      205.07      229.62
152      205.07     228.806
153      205.07     227.974
154      205.07     227.274
155      205.07     226.489
156      205.07      225.74
157      205.07     225.041
158      205.07     224.528
159      205.07     223.935
160      205.07     223.545
161      205.07     223.035
162      205.07     222.728
163      205.07     222.076
164      205.07      221.59
165      205.07      220.98
166      205.07     220.698
167      205.07     220.237
168      205.07     219.817
169      204.82     219.518
170     203.464     219.015
171     203.464      218.66
172     203.464     218.434
173     203.464     218.243
174     199.531         218
175     199.531     217.636
176     199.531     217.394
177     199.531     216.961
178     199.531      216.52
179     199.531     216.147
180     199.531     215.948
181     199.531     215.941
182     199.531      215.67
183     199.531     215.577
184     199.531     215.282
185     199.531     215.124
186     199.531     215.035
187     199.531     214.824
188     199.531     214.668
189     199.531     214.418
190     199.531     214.087
191     199.531     213.859
192     198.463      213.58
193     198.463     213.362
194     198.463     213.121
195     198.463     212.774
196     198.031     212.489
197     198.031     212.198
198     196.343     211.968
199     196.343     211.821
200      193.61       211.7
201      193.61     211.261
