#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    0.857112    0.857112           0
           2    0.849047    0.853079  0.00285133
           3    0.845746    0.850635  0.00275613
           4    0.838139    0.847511  0.00340471
           5    0.838687    0.845746  0.00314812
           6    0.846103    0.845806  0.00262399
           7    0.836081    0.844416  0.00259093
           8    0.831591    0.842813   0.0027182
           9    0.843685     0.84291   0.0024179
          10    0.837216    0.842341  0.00224215
          11    0.835715    0.841738  0.00211768
          12    0.840456    0.841631   0.0019439
          13    0.828882    0.840651  0.00202672
          14    0.831326    0.839985  0.00198838
          15    0.842336    0.840141  0.00186199
          16    0.836112     0.83989  0.00176257
          17    0.845277    0.840206  0.00168714
          18    0.833606     0.83984  0.00163277
          19    0.830957    0.839372  0.00161237
          20    0.841725     0.83949  0.00153604
