#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.55867    -5.55867           0
           2    -5.55122    -5.55495  0.00263347
           3    -5.54729     -5.5524    0.002725
           4     -5.5386    -5.54895  0.00361978
           5    -5.53971     -5.5471  0.00333379
           6    -5.54777    -5.54721  0.00278003
           7    -5.53765    -5.54584  0.00269781
           8    -5.53292    -5.54423  0.00280321
           9    -5.54512    -5.54433  0.00249351
          10    -5.53858    -5.54375   0.0023094
          11    -5.53574    -5.54303  0.00221128
          12    -5.54216    -5.54295  0.00202817
          13    -5.53019    -5.54197  0.00209654
          14    -5.53246    -5.54129  0.00205397
          15    -5.54296     -5.5414  0.00192006
          16     -5.5369    -5.54112  0.00182052
          17    -5.54678    -5.54146  0.00174361
          18    -5.53465    -5.54108  0.00168724
          19    -5.53075    -5.54053  0.00168363
          20    -5.54247    -5.54063  0.00160223
