#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.571408    0.571408           0
           2    0.566031    0.568719  0.00190089
           3    0.563831     0.56709  0.00183742
           4    0.558759    0.565007   0.0022698
           5    0.559125    0.563831  0.00209874
           6    0.564069     0.56387  0.00174933
           7    0.557387    0.562944  0.00172729
           8    0.554394    0.561875  0.00181213
           9    0.562456     0.56194  0.00161193
          10    0.558144     0.56156  0.00149477
          11    0.557143    0.561159  0.00141178
          12    0.560304    0.561088  0.00129593
          13    0.552588    0.560434  0.00135115
          14    0.554218     0.55999  0.00132559
          15    0.561557    0.560094  0.00124133
          16    0.557408    0.559926  0.00117504
          17    0.563518    0.560138  0.00112476
          18    0.555737    0.559893  0.00108851
          19    0.553972    0.559581  0.00107492
          20     0.56115     0.55966  0.00102403
