#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -4.70156    -4.70156           0
           2    -4.70218    -4.70187 0.000217857
           3    -4.70154    -4.70176 0.000169998
           4    -4.70046    -4.70144 0.000309695
           5    -4.70103    -4.70135 0.000258359
           6    -4.70167    -4.70141  0.00022054
           7    -4.70157    -4.70143 0.000190227
           8    -4.70132    -4.70142 0.000166892
           9    -4.70144    -4.70142 0.000148369
          10    -4.70137    -4.70141 0.000133622
          11    -4.70003    -4.70129 0.000170739
          12    -4.70171    -4.70132 0.000160063
          13     -4.7013    -4.70132 0.000147757
          14    -4.70113    -4.70131 0.000137822
          15    -4.70063    -4.70126 0.000135886
          16    -4.70079    -4.70123  0.00013052
          17    -4.70151    -4.70125 0.000123823
          18    -4.70104    -4.70124 0.000117465
          19     -4.6998    -4.70116 0.000133508
          20    -4.70075    -4.70114 0.000128445
