#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.861652    0.861652           0
           2    0.908955    0.885303   0.0167242
           3    0.901567    0.890725    0.011996
           4     0.92092    0.898273   0.0111213
           5    0.901617    0.898942  0.00891714
           6    0.965505    0.910036   0.0125611
           7     0.91972    0.911419   0.0108426
           8    0.938123    0.914757  0.00998782
           9    0.914864    0.914769  0.00887807
          10    0.915073      0.9148  0.00799032
          11    0.909734    0.914339  0.00727718
          12    0.900878    0.913217  0.00675666
          13    0.920618    0.913787  0.00626085
          14    0.894234     0.91239  0.00596739
          15    0.931149    0.913641  0.00569911
          16    0.906799    0.913213  0.00535893
          17    0.919864    0.913604  0.00505796
          18    0.914701    0.913665  0.00477733
          19    0.913995    0.913682  0.00452592
          20     0.89588    0.912792  0.00438628
