#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -1.00175    -1.00175           0
           2    -1.00244    -1.00209 0.000245442
           3    -1.00368    -1.00262 0.000462952
           4    -1.00571     -1.0034 0.000753122
           5    -1.00465    -1.00365 0.000642682
           6    -1.00254    -1.00346 0.000561506
           7    -1.00403    -1.00354  0.00048711
           8    -1.00342    -1.00353 0.000426455
           9    -1.00442    -1.00363 0.000390383
          10    -1.00309    -1.00357 0.000355004
          11    -1.00311    -1.00353 0.000325202
          12    -1.00496    -1.00365 0.000319157
          13    -1.00355    -1.00364 0.000294696
          14    -1.00459    -1.00371  0.00028129
          15    -1.00437    -1.00375 0.000265941
          16    -1.00339    -1.00373 0.000250289
          17    -1.00335    -1.00371 0.000236566
          18    -1.00522    -1.00379 0.000237773
          19    -1.00636    -1.00393 0.000260864
          20    -1.00147     -1.0038 0.000275195
           1   -0.977211   -0.977211           0
           2   -0.975391   -0.976301  0.00064358
           3   -0.978526   -0.977043 0.000742033
           4   -0.977543   -0.977168 0.000566981
           5    -0.97279   -0.976292 0.000904999
           6   -0.978272   -0.976622 0.000812106
           7   -0.972713   -0.976064 0.000867128
           8   -0.973883   -0.975791 0.000800435
           9   -0.977138   -0.975941 0.000725352
          10   -0.977421   -0.976089  0.00066774
          11   -0.974445   -0.975939 0.000623528
          12    -0.97829   -0.976135 0.000601547
          13   -0.976876   -0.976192 0.000557967
          14   -0.978611   -0.976365 0.000544207
          15   -0.978336   -0.976496 0.000523544
          16    -0.97672    -0.97651 0.000491009
          17   -0.975076   -0.976426 0.000469324
          18   -0.977277   -0.976473 0.000445627
          19    -0.97359   -0.976322 0.000447262
          20    -0.97771   -0.976391 0.000430252
           1   -0.938306   -0.938306           0
           2   -0.939514    -0.93891 0.000426923
           3   -0.936776   -0.938199 0.000646689
           4   -0.937847   -0.938111  0.00049096
           5   -0.940012   -0.938491 0.000519548
           6   -0.938309   -0.938461 0.000433843
           7   -0.938291   -0.938436 0.000372537
           8   -0.938966   -0.938503 0.000331802
           9   -0.937515   -0.938393 0.000312538
          10   -0.937742   -0.938328 0.000287977
          11   -0.938607   -0.938353 0.000262917
          12     -0.9359   -0.938149 0.000310493
          13   -0.939068    -0.93822 0.000294552
          14   -0.938634   -0.938249 0.000274994
          15   -0.940399   -0.938392 0.000291628
          16   -0.939905   -0.938487 0.000288324
          17   -0.937819   -0.938448 0.000274029
          18   -0.939663   -0.938515 0.000266992
          19   -0.937244   -0.938448 0.000261191
          20   -0.939393   -0.938496 0.000252365
           1   -0.902854   -0.902854           0
           2   -0.899542   -0.901198   0.0011711
           3   -0.898646   -0.900348    0.001045
           4   -0.897657   -0.899675 0.000976551
           5   -0.901572   -0.900054 0.000851752
           6    -0.90008   -0.900059 0.000709805
           7   -0.898409   -0.899823 0.000646343
           8    -0.90027   -0.899879  0.00056796
           9   -0.901518   -0.900061 0.000533259
          10   -0.900689   -0.900124 0.000483623
          11    -0.89926   -0.900045 0.000445988
          12   -0.898106   -0.899884 0.000437133
          13   -0.900172   -0.899906 0.000404071
          14   -0.898235   -0.899786 0.000392442
          15   -0.900219   -0.899815 0.000367337
          16   -0.900675   -0.899869 0.000348283
          17   -0.900379   -0.899899 0.000329087
          18   -0.900203   -0.899916 0.000311237
          19   -0.897302   -0.899778 0.000323847
          20   -0.897932   -0.899686  0.00032054
           1   -0.864345   -0.864345           0
           2   -0.861465   -0.862905  0.00101818
           3   -0.861857   -0.862555 0.000736226
           4   -0.859499   -0.861791 0.000861807
           5   -0.861682    -0.86177 0.000689723
           6   -0.860103   -0.861492 0.000628204
           7    -0.86079   -0.861392 0.000546395
