#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.872012    0.872012           0
           2    0.883226    0.877619  0.00396461
           3    0.910449    0.888563  0.00931791
           4     0.91643    0.895529  0.00923261
           5    0.889758    0.894375  0.00745791
           6    0.893524    0.894233  0.00621627
           7    0.901608    0.895287  0.00541679
           8    0.903233     0.89628   0.0048299
           9    0.873032    0.893697  0.00493591
          10    0.885691    0.892896  0.00450677
          11    0.882481    0.891949  0.00419535
          12    0.922397    0.894487  0.00454874
          13    0.894323    0.894474  0.00419885
          14    0.891806    0.894284  0.00390326
          15    0.893617    0.894239  0.00364329
          16      0.8585    0.892005  0.00404273
          17     0.89673    0.892283  0.00381447
          18    0.919606    0.893801  0.00389288
          19      0.9298    0.895696  0.00412336
          20    0.821434    0.891983  0.00533311
           1    0.722423    0.722423           0
           2    0.762307    0.742365   0.0141011
           3    0.765892    0.750207   0.0113744
           4    0.749131    0.749938  0.00853396
           5    0.685183    0.736987   0.0134459
           6    0.744467    0.738234   0.0112626
           7      0.6704    0.728543   0.0131789
           8    0.723092    0.727862   0.0115492
           9    0.748372    0.730141   0.0104883
          10     0.73836    0.730963  0.00947166
          11    0.717853    0.729771  0.00868526
          12    0.786448    0.734494  0.00915609
          13    0.741547    0.735036  0.00846784
          14    0.783108     0.73847  0.00853079
          15    0.748337    0.739128   0.0079874
          16    0.705234     0.73701  0.00776402
          17    0.741971    0.737301   0.0073128
          18    0.747978    0.737894  0.00693054
          19    0.694032    0.735586  0.00693961
          20    0.750085    0.736311  0.00663039
           1    0.518667    0.518667           0
           2     0.56226    0.540464   0.0154127
           3    0.508276    0.529735   0.0135026
           4    0.571713    0.540229   0.0136072
           5    0.557506    0.543684    0.011316
           6    0.565552    0.547329  0.00999972
           7     0.53644    0.545773  0.00869134
           8     0.54779    0.546026  0.00760858
           9    0.532246    0.544494  0.00691552
          10    0.572598    0.547305  0.00677097
          11    0.498574    0.542875  0.00746528
          12    0.538384      0.5425  0.00685255
          13    0.550764    0.543136  0.00635485
          14    0.557535    0.544165  0.00598358
          15    0.584009    0.546821  0.00614606
          16    0.560249     0.54766  0.00581895
          17    0.516279    0.545814  0.00576202
          18     0.56594    0.546932  0.00554933
          19    0.541555    0.546649  0.00526447
          20     0.55913    0.547273   0.0050381
           1    0.416072    0.416072           0
           2    0.391546    0.403809  0.00867097
           3    0.403582    0.403733  0.00578098
           4    0.410234    0.405358  0.00455843
           5    0.415484    0.407384  0.00407185
           6    0.392523    0.404907  0.00407746
           7    0.389817    0.402751  0.00402467
           8       0.421    0.405032  0.00411758
           9    0.430006    0.407807  0.00449896
          10    0.422263    0.409253  0.00427502
          11    0.385601    0.407103  0.00439394
          12    0.390549    0.405723   0.0042388
          13    0.391772     0.40465   0.0040463
          14    0.388051    0.403464  0.00392715
          15    0.404994    0.403566  0.00366666
          16    0.408155    0.403853  0.00344869
          17    0.419308    0.404762  0.00336351
          18    0.370816    0.402876  0.00366744
          19    0.381096     0.40173  0.00364917
          20    0.406424    0.401965  0.00347425
           1    0.291418    0.291418           0
           2    0.288966    0.290192 0.000866771
           3    0.267827    0.282737  0.00611435
           4    0.293654    0.285466  0.00515911
           5    0.278453    0.284064  0.00431374
           6    0.288037    0.284726  0.00364527
           7    0.311108    0.288495  0.00468374
           8    0.284536       0.288  0.00412433
           9     0.29047    0.288274  0.00367518
          10    0.284401    0.287887  0.00332801
          11    0.307966    0.289712  0.00349033
          12    0.281251    0.289007  0.00326991
          13    0.280669    0.288366  0.00308064
          14     0.27251    0.287233   0.0030617
          15     0.28396    0.287015  0.00286535
          16    0.298594    0.287739  0.00277616
          17    0.263008    0.286284  0.00296966
          18    0.286572      0.2863  0.00280472
          19    0.305139    0.287292  0.00282694
          20    0.287792    0.287317  0.00268571
           1    0.212508    0.212508           0
           2    0.223345    0.217927  0.00383125
           3    0.208554    0.214802   0.0036099
           4     0.19893    0.210834  0.00437485
           5    0.221521    0.212972  0.00398794
           6    0.234248    0.216518   0.0046393
           7    0.212398    0.215929  0.00401371
           8    0.214783    0.215786  0.00351455
           9    0.229654    0.217327  0.00344534
          10    0.227004    0.218294  0.00323385
          11    0.220806    0.218523  0.00294791
          12    0.215822    0.218298  0.00271083
          13    0.227778    0.219027  0.00259854
          14    0.214258    0.218686  0.00243515
          15    0.211577    0.218212  0.00231847
          16     0.21485    0.218002  0.00218307
          17    0.230286    0.218725  0.00217095
          18    0.209236    0.218198  0.00211338
          19    0.214204    0.217987  0.00201257
          20     0.21903     0.21804  0.00191262
           1    0.182194    0.182194           0
           2    0.167206      0.1747   0.0052992
           3    0.183757    0.177719  0.00430777
           4    0.166721    0.174969  0.00401349
           5    0.161738    0.172323   0.0039889
           6    0.175856    0.172912  0.00336725
           7     0.16244    0.171416  0.00320135
           8    0.166862    0.170847  0.00285134
           9    0.168953    0.170636  0.00254227
          10     0.16589    0.170162  0.00233192
          11    0.168264    0.169989   0.0021263
          12    0.174048    0.170327  0.00197583
          13      0.1591    0.169464  0.00200372
          14    0.173612     0.16976  0.00188238
          15    0.159666    0.169087   0.0018733
          16    0.184427    0.170046  0.00198646
          17    0.164151    0.169699  0.00189964
          18    0.175783    0.170037  0.00182393
          19    0.172715    0.170178  0.00173337
          20    0.173756    0.170357   0.0016559
           1    0.138853    0.138853           0
           2    0.132461    0.135657  0.00225977
           3    0.140873    0.137396  0.00207004
           4     0.12643    0.134654  0.00283671
           5    0.130916    0.133907  0.00236587
           6    0.127383    0.132819  0.00220731
           7    0.144633    0.134507  0.00245378
           8    0.134357    0.134488  0.00214713
           9      0.1396    0.135056  0.00198224
          10    0.126329    0.134183  0.00196678
          11    0.138436     0.13457  0.00182559
          12    0.144066    0.135361  0.00183699
          13    0.142451    0.135907  0.00177479
          14    0.124353    0.135082  0.00182986
          15    0.133492    0.134976  0.00171093
          16    0.145291     0.13562  0.00172119
          17    0.132848    0.135457  0.00162765
          18    0.134674    0.135414  0.00153781
          19    0.142519    0.135788  0.00150165
          20    0.135913    0.135794  0.00142658
           1    0.112255    0.112255           0
           2     0.10302    0.107638  0.00326499
           3    0.110608    0.108628  0.00232189
           4    0.119952    0.111459  0.00300728
           5    0.106804    0.110528  0.00254587
           6    0.113348    0.110998   0.0021645
           7    0.111307    0.111042  0.00185574
           8    0.118664    0.111995  0.00185225
           9    0.115051    0.112334  0.00167729
          10    0.115771    0.112678  0.00154437
          11    0.112663    0.112677  0.00140397
          12    0.121575    0.113418  0.00146981
          13     0.11565     0.11359  0.00136673
          14    0.115643    0.113736  0.00127696
          15    0.116589    0.113927  0.00120591
          16    0.121666     0.11441  0.00122371
          17    0.115458    0.114472  0.00115328
          18    0.111992    0.114334  0.00109741
          19    0.116973    0.114473   0.0010484
          20    0.115337    0.114516 0.000996873
           1   0.0952172   0.0952172           0
           2   0.0860908    0.090654  0.00322667
           3    0.090622   0.0906433  0.00215113
           4    0.092708   0.0911595  0.00167413
           5   0.0860544   0.0901385  0.00162102
           6    0.098458   0.0915251  0.00185121
           7   0.0995404   0.0926701   0.0019083
           8   0.0834332   0.0915155  0.00198862
           9   0.0876724   0.0910885  0.00181293
          10   0.0858264   0.0905623  0.00170629
          11   0.0916744   0.0906634  0.00155417
          12   0.0882356   0.0904611  0.00143776
          13    0.092176    0.090593   0.0013332
          14    0.089322   0.0905022  0.00124106
          15    0.093554   0.0907057  0.00117488
          16    0.080614   0.0900749  0.00125943
          17     0.08981   0.0900593  0.00118544
          18   0.0866592   0.0898704  0.00113453
          19   0.0965004   0.0902194   0.0011272
          20   0.0899208   0.0902045  0.00107094
           1    0.077636    0.077636           0
           2   0.0877564   0.0826962   0.0035781
           3   0.0826388   0.0826771  0.00238545
           4   0.0786044   0.0816589  0.00199458
           5   0.0765732   0.0806418  0.00183679
           6   0.0800992   0.0805513  0.00153288
           7   0.0784968   0.0802578   0.0013417
           8   0.0771604   0.0798706  0.00122859
           9   0.0759924   0.0794397   0.0011652
          10   0.0782508   0.0793208  0.00105473
          11   0.0770344    0.079113  0.00097911
          12   0.0784628   0.0790588 0.000899016
          13   0.0752268    0.078764 0.000876854
          14    0.076908   0.0786315 0.000824183
          15   0.0810356   0.0787917 0.000784667
          16   0.0826812   0.0790348 0.000772363
          17   0.0790104   0.0790334 0.000726931
          18    0.080052     0.07909 0.000688745
          19    0.081806   0.0792329 0.000667165
          20   0.0822108   0.0793818 0.000650209
           1   0.0678092   0.0678092           0
           2   0.0720904   0.0699498  0.00151363
           3   0.0646912   0.0681969  0.00175118
           4   0.0676588   0.0680624  0.00131854
           5    0.064788   0.0674075  0.00120655
           6   0.0659448   0.0671637  0.00102979
           7   0.0700264   0.0675727 0.000960455
           8   0.0721708   0.0681474 0.000997662
           9   0.0721124    0.068588 0.000979261
          10   0.0681568   0.0685449 0.000882284
          11   0.0644292   0.0681707 0.000877833
          12   0.0671568   0.0680862 0.000808736
          13    0.064752   0.0678298 0.000786144
          14   0.0668548   0.0677601 0.000733069
          15     0.06889   0.0678354 0.000688057
          16   0.0675588   0.0678181  0.00064527
          17   0.0685188   0.0678594 0.000608628
          18   0.0658152   0.0677458 0.000585315
          19    0.064732   0.0675872 0.000575601
          20   0.0709696   0.0677563 0.000571126
           1   0.0562228   0.0562228           0
           2   0.0588328   0.0575278 0.000922774
           3    0.059556   0.0582039 0.000826535
           4   0.0579088   0.0581301 0.000623185
           5    0.053762   0.0572565 0.000926887
           6    0.058968   0.0575417 0.000815119
           7   0.0580816   0.0576189 0.000702312
           8   0.0580008   0.0576666 0.000616144
           9    0.061054    0.058043 0.000652593
          10   0.0594012   0.0581788 0.000601302
