#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1 6.40157e+13 6.40157e+13           0
           2 6.40157e+13 6.40157e+13           0
           3 6.40157e+13 6.40157e+13      428079
           4 6.40157e+13 6.40157e+13           0
           5 6.40157e+13 6.40157e+13      468937
           6 6.40157e+13 6.40157e+13      302698
           7 6.40157e+13 6.40157e+13      280244
           8 6.40157e+13 6.40157e+13      262144
           9 6.40157e+13 6.40157e+13      247152
          10 6.40157e+13 6.40157e+13      331589
          11 6.40157e+13 6.40157e+13      387212
          12 6.40157e+13 6.40157e+13      478607
          13 6.40157e+13 6.40157e+13      459831
          14 6.40157e+13 6.40157e+13      443104
          15 6.40157e+13 6.40157e+13      506510
          16 6.40157e+13 6.40157e+13      490427
          17 6.40157e+13 6.40157e+13      475784
          18 6.40157e+13 6.40157e+13      462379
          19 6.40157e+13 6.40157e+13      510304
          20 6.40157e+13 6.40157e+13      468937
           1 6.40157e+13 1.34433e+15           0
           2 6.40157e+13 7.04173e+14 4.74753e+14
           3 6.40157e+13 4.90787e+14 2.64231e+14
           4 6.40157e+13 3.84094e+14 1.75314e+14
           5 6.40157e+13 3.20079e+14 1.28031e+14
           6 6.40157e+13 2.77402e+14 9.93257e+13
           7 6.40157e+13 2.46918e+14 8.03224e+13
           8 6.40157e+13 2.24055e+14 6.69493e+13
           9 6.40157e+13 2.06273e+14 5.71001e+13
          10 6.40157e+13 1.92047e+14 4.95864e+13
          11 6.40157e+13 1.80408e+14 4.36912e+13
          12 6.40157e+13 1.70709e+14 3.89587e+13
          13 6.40157e+13 1.62501e+14 3.50868e+13
          14 6.40157e+13 1.55467e+14 3.18676e+13
          15 6.40157e+13  1.4937e+14  2.9154e+13
          16 6.40157e+13 1.44035e+14 2.68394e+13
          17 6.40157e+13 1.39328e+14 2.48444e+13
          18 6.40157e+13 1.35144e+14 2.31092e+13
          19 6.40157e+13 1.31401e+14 2.15876e+13
          20 6.40157e+13 1.28031e+14 2.02436e+13
           1 6.40157e+13 2.62465e+15           0
           2 6.40157e+13 1.34433e+15 9.27676e+14
           3 6.40157e+13 9.17559e+14 5.10939e+14
           4 6.40157e+13 7.04173e+14 3.35701e+14
           5 6.40157e+13 5.76142e+14 2.42923e+14
           6 6.40157e+13 4.90787e+14  1.8684e+14
           7 6.40157e+13  4.2982e+14 1.49871e+14
           8 6.40157e+13 3.84094e+14 1.23966e+14
           9 6.40157e+13  3.4853e+14 1.04967e+14
          10 6.40157e+13 3.20079e+14 9.05319e+13
          11 6.40157e+13   2.968e+14 7.92525e+13
          12 6.40157e+13 2.77402e+14 7.02339e+13
          13 6.40157e+13 2.60987e+14 6.28839e+13
          14 6.40157e+13 2.46918e+14 5.67965e+13
          15 6.40157e+13 2.34724e+14 5.16846e+13
          16 6.40157e+13 2.24055e+14 4.73403e+13
          17 6.40157e+13 2.14641e+14 4.36095e+13
          18 6.40157e+13 2.06273e+14 4.03759e+13
          19 6.40157e+13 1.98786e+14 3.75502e+13
          20 6.40157e+13 1.92047e+14 3.50629e+13
           1 6.40157e+13 3.90496e+15           0
           2 6.40157e+13 1.98449e+15 1.38043e+15
           3 6.40157e+13 1.34433e+15 7.57444e+14
           4 6.40157e+13 1.02425e+15 4.95864e+14
           5 6.40157e+13 8.32205e+14 3.57572e+14
           6 6.40157e+13 7.04173e+14 2.74099e+14
           7 6.40157e+13 6.12722e+14 2.19156e+14
           8 6.40157e+13 5.44134e+14  1.8071e+14
           9 6.40157e+13 4.90787e+14 1.52554e+14
          10 6.40157e+13  4.4811e+14 1.31193e+14
          11 6.40157e+13 4.13192e+14 1.14526e+14
          12 6.40157e+13 3.84094e+14 1.01218e+14
          13 6.40157e+13 3.59473e+14 9.03876e+13
          14 6.40157e+13 3.38369e+14 8.14303e+13
          15 6.40157e+13 3.20079e+14  7.3919e+13
          16 6.40157e+13 3.04075e+14 6.75444e+13
          17 6.40157e+13 2.89954e+14 6.20775e+13
          18 6.40157e+13 2.77402e+14 5.73457e+13
          19 6.40157e+13 2.66171e+14 5.32164e+13
          20 6.40157e+13 2.56063e+14 4.95864e+13
           1 6.40157e+13 5.18527e+15           0
           2 6.40157e+13 2.62465e+15 1.83313e+15
           3 6.40157e+13  1.7711e+15  1.0039e+15
           4 6.40157e+13 1.34433e+15 6.55966e+14
           5 6.40157e+13 1.08827e+15 4.72157e+14
           6 6.40157e+13 9.17559e+14 3.61288e+14
           7 6.40157e+13 7.95624e+14 2.88366e+14
           8 6.40157e+13 7.04173e+14 2.37377e+14
           9 6.40157e+13 6.33044e+14 2.00061e+14
          10 6.40157e+13 5.76142e+14 1.71772e+14
          11 6.40157e+13 5.29585e+14 1.49714e+14
          12 6.40157e+13 4.90787e+14 1.32115e+14
          13 6.40157e+13 4.57959e+14 1.17803e+14
          14 6.40157e+13  4.2982e+14 1.05975e+14
          15 6.40157e+13 4.05433e+14 9.60631e+13
          16 6.40157e+13 3.84094e+14 8.76572e+13
          17 6.40157e+13 3.65266e+14 8.04534e+13
          18 6.40157e+13  3.4853e+14 7.42226e+13
          19 6.40157e+13 3.33556e+14  6.8789e+13
          20 6.40157e+13 3.20079e+14 6.40157e+13
