#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -1.00197    -1.00197           0
           2    -1.00177    -1.00187  6.9766e-05
           3    -1.00425    -1.00266 0.000650127
           4    -1.00552    -1.00338 0.000788145
           5    -1.00351    -1.00341 0.000630955
           6    -1.00291    -1.00332 0.000531102
           7     -1.0049    -1.00355 0.000500567
           8    -1.00375    -1.00357  0.00043865
           9    -1.00353    -1.00357 0.000389938
          10    -1.00317    -1.00353 0.000352962
          11    -1.00316     -1.0035 0.000322471
          12      -1.005    -1.00362  0.00031902
          13    -1.00366    -1.00362 0.000294492
          14    -1.00506    -1.00373 0.000290769
          15    -1.00331     -1.0037 0.000272739
          16    -1.00353    -1.00369 0.000255893
          17    -1.00325    -1.00366 0.000242123
          18    -1.00559    -1.00377 0.000251337
          19    -1.00603    -1.00389 0.000264791
          20    -1.00235    -1.00381 0.000262479
           1    -0.97542    -0.97542           0
           2   -0.976697   -0.976058 0.000451445
           3   -0.978437   -0.976851 0.000713997
           4   -0.976487    -0.97676  0.00054128
           5   -0.972693   -0.975947 0.000846597
           6   -0.978641   -0.976396 0.000815976
           7     -0.9705   -0.975553  0.00104748
           8   -0.975451   -0.975541 0.000916624
           9   -0.976633   -0.975662 0.000822774
          10   -0.978059   -0.975902 0.000774631
          11   -0.974787     -0.9758 0.000710812
          12   -0.978799    -0.97605 0.000694123
          13   -0.976073   -0.976052 0.000640731
          14   -0.979141   -0.976273 0.000631803
          15   -0.977962   -0.976385 0.000599636
          16   -0.974061    -0.97624 0.000579481
          17   -0.978694   -0.976384 0.000563083
          18   -0.976785   -0.976407 0.000532241
          19   -0.973463   -0.976252 0.000526293
          20   -0.976243   -0.976251 0.000499979
           1   -0.938489   -0.938489           0
           2   -0.940365   -0.939427 0.000663504
           3   -0.935478    -0.93811  0.00116233
           4   -0.937991   -0.938081 0.000872133
           5   -0.938675   -0.938199  0.00070576
           6   -0.940865   -0.938644 0.000714442
           7   -0.938613   -0.938639 0.000612393
           8   -0.937474   -0.938494 0.000552892
           9   -0.937588   -0.938393 0.000500532
          10   -0.940079   -0.938562 0.000478034
          11   -0.935691   -0.938301  0.00050075
          12   -0.936704   -0.938168 0.000476379
          13   -0.939099   -0.938239 0.000445092
          14   -0.939687   -0.938343 0.000425137
          15   -0.939071   -0.938391  0.00039956
          16   -0.940657   -0.938533 0.000398892
          17   -0.936585   -0.938418 0.000391542
          18   -0.940533   -0.938536 0.000387018
          19   -0.936806   -0.938445 0.000377211
