#   N_BLOCK:  ACCEPTANCE:
           1    0.027056
           2   0.0259333
           3   0.0265515
           4   0.0272192
           5     0.02784
           6   0.0286783
           7    0.028226
           8    0.027492
           9   0.0275708
          10   0.0274631
          11   0.0274717
          12   0.0274234
          13   0.0280346
          14   0.0277523
          15    0.027532
          16   0.0275659
          17   0.0271336
          18   0.0269147
          19   0.0265424
          20   0.0262936
           1   0.0285611
           2   0.0296647
           3   0.0307546
           4   0.0314351
           5    0.032372
           6    0.033451
           7   0.0344059
           8   0.0348213
           9   0.0351415
          10   0.0354957
          11   0.0358389
          12   0.0363203
          13   0.0371131
          14   0.0378054
          15   0.0382138
          16   0.0386516
          17    0.039001
          18   0.0393932
          19   0.0394742
          20   0.0398132
           1   0.0419172
           2   0.0429228
           3   0.0438912
           4   0.0446796
           5   0.0454937
           6   0.0462296
           7   0.0468599
           8   0.0476369
           9   0.0483879
          10   0.0489866
          11   0.0496521
          12   0.0503342
          13   0.0509059
          14   0.0514839
          15   0.0521189
          16   0.0526623
          17   0.0532006
          18   0.0538187
          19   0.0543938
          20   0.0549819
           1   0.0568852
           2   0.0578056
           3   0.0586637
           4   0.0596295
           5   0.0605148
           6   0.0613169
           7   0.0621103
           8   0.0628966
           9   0.0635912
          10   0.0643442
          11   0.0650377
          12   0.0657495
          13   0.0664234
          14   0.0670518
          15   0.0676942
          16   0.0683422
          17   0.0689387
          18   0.0695796
          19   0.0702166
          20   0.0707858
           1   0.0727582
           2   0.0736536
           3   0.0745971
           4   0.0755105
           5   0.0763913
           6   0.0772165
           7   0.0779583
           8   0.0787804
           9    0.079547
          10   0.0803027
          11   0.0810167
          12   0.0817284
          13   0.0824645
          14    0.083186
          15   0.0838592
          16   0.0845351
          17   0.0852438
          18   0.0858999
          19   0.0865114
          20   0.0870934
           1   0.0889076
           2   0.0897726
           3   0.0906297
           4   0.0915021
           5   0.0923678
           6   0.0932028
           7   0.0939634
           8   0.0947632
           9   0.0955698
          10   0.0963729
          11   0.0971491
          12   0.0978386
          13    0.098586
          14   0.0993304
          15    0.100042
          16    0.100697
          17    0.101382
          18    0.102042
          19     0.10271
          20    0.103357
           1    0.105089
           2    0.105947
           3    0.106819
           4    0.107642
           5    0.108457
           6    0.109274
           7    0.110119
           8     0.11089
           9    0.111675
          10    0.112439
          11    0.113203
          12    0.113946
          13    0.114687
          14    0.115385
          15    0.116077
          16    0.116794
          17    0.117496
          18    0.118177
          19    0.118829
          20    0.119506
           1    0.121238
           2    0.122093
           3    0.122939
           4    0.123793
           5    0.124619
           6    0.125419
           7    0.126212
           8    0.126989
           9    0.127764
          10    0.128543
          11    0.129318
          12    0.130055
          13    0.130809
          14    0.131532
          15    0.132268
          16    0.132976
          17    0.133645
          18    0.134335
          19    0.134999
          20    0.135661
           1    0.137326
           2    0.138158
           3    0.138977
           4    0.139786
           5    0.140579
           6    0.141364
           7     0.14215
           8    0.142908
           9    0.143692
          10    0.144416
          11    0.145156
          12    0.145904
          13    0.146638
          14    0.147359
          15    0.148067
          16    0.148787
          17    0.149499
          18      0.1502
          19     0.15089
          20    0.151557
           1    0.153181
           2    0.153982
           3    0.154791
           4    0.155606
           5    0.156381
           6    0.157152
           7    0.157918
           8    0.158687
           9    0.159433
          10    0.160177
          11    0.160897
          12     0.16164
          13    0.162349
          14    0.163053
          15    0.163776
          16    0.164488
          17    0.165197
          18    0.165898
          19    0.166587
          20    0.167262
           1    0.168845
           2    0.169632
           3     0.17042
           4    0.171186
           5    0.171957
           6    0.172697
           7    0.173456
           8    0.174197
           9    0.174938
          10    0.175658
          11    0.176368
          12    0.177079
          13    0.177798
          14    0.178497
          15    0.179189
          16    0.179876
          17    0.180558
          18    0.181246
          19    0.181926
          20    0.182578
           1    0.184112
           2    0.184872
           3    0.185623
           4    0.186363
           5    0.187103
           6    0.187843
           7    0.188567
           8    0.189278
           9    0.189995
          10    0.190699
          11    0.191394
          12    0.192105
          13    0.192803
          14    0.193489
          15    0.194163
          16    0.194838
          17    0.195514
          18    0.196187
          19    0.196838
          20    0.197492
           1    0.198972
           2    0.199712
           3    0.200449
           4    0.201176
           5    0.201896
           6    0.202608
           7    0.203312
           8    0.204019
           9    0.204726
          10    0.205415
