#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.72144    -0.72144           0
           2   -0.719865   -0.720652 0.000556917
           3   -0.721358   -0.720887 0.000417953
           4   -0.720678   -0.720835 0.000316716
           5   -0.720624   -0.720793 0.000256174
           6   -0.720398   -0.720727 0.000221758
           7   -0.720492   -0.720694 0.000192607
           8    -0.72052   -0.720672 0.000169749
           9   -0.719688   -0.720563 0.000182731
          10   -0.720399   -0.720546 0.000165187
          11   -0.720676   -0.720558  0.00015059
          12   -0.720378   -0.720543  0.00013879
          13   -0.720278   -0.720523 0.000129607
          14   -0.720426   -0.720516 0.000120534
          15    -0.71986   -0.720472 0.000120163
          16   -0.720622   -0.720481 0.000113016
          17   -0.722002   -0.720571 0.000137264
          18   -0.721378   -0.720616 0.000136775
          19   -0.720703    -0.72062 0.000129654
          20   -0.720494   -0.720614 0.000123326
