#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.45926    -5.45926           0
           2    -5.47089    -5.46508  0.00411173
           3    -5.46259    -5.46425  0.00282341
           4     -5.4634    -5.46404  0.00212545
           5    -5.46351    -5.46393  0.00170301
           6     -5.4663    -5.46433  0.00146425
           7    -5.47283    -5.46554  0.00168568
           8    -5.46448    -5.46541  0.00148017
           9    -5.46131    -5.46495  0.00138384
          10    -5.45677    -5.46413  0.00146778
          11    -5.46747    -5.46444  0.00136528
          12    -5.45708    -5.46383  0.00138221
          13    -5.47581    -5.46475  0.00155309
          14    -5.47488    -5.46547   0.0016019
          15    -5.45884    -5.46503  0.00155483
          16    -5.46053    -5.46475  0.00148291
          17    -5.45215    -5.46401  0.00157003
          18    -5.46527    -5.46408  0.00148437
          19    -5.46823    -5.46429  0.00142223
          20    -5.44692    -5.46343   0.0015946
          21    -5.45406    -5.46298  0.00157977
          22     -5.4505    -5.46241  0.00160662
          23     -5.4603    -5.46232   0.0015394
          24    -5.47048    -5.46266   0.0015123
          25    -5.47253    -5.46306  0.00150247
          26    -5.46796    -5.46324  0.00145648
          27    -5.46701    -5.46338  0.00140919
          28    -5.47454    -5.46378   0.0014141
          29    -5.48249    -5.46443  0.00150525
          30    -5.46537    -5.46446  0.00145541
          31    -5.47514     -5.4648  0.00144867
          32    -5.46839    -5.46491  0.00140774
          33    -5.47698    -5.46528   0.0014118
          34    -5.46725    -5.46534  0.00137146
          35    -5.45592    -5.46507  0.00135843
          36    -5.46764    -5.46514  0.00132257
          37    -5.46273    -5.46508  0.00128842
          38    -5.46375    -5.46504  0.00125499
          39    -5.46719     -5.4651  0.00122402
          40    -5.46352    -5.46506  0.00119405
          41    -5.46007    -5.46493  0.00117111
          42    -5.47019    -5.46506  0.00114989
          43    -5.46275    -5.46501   0.0011244
          44    -5.44858    -5.46463  0.00115915
          45    -5.46054    -5.46454  0.00113696
          46    -5.48215    -5.46492  0.00117492
          47    -5.47043    -5.46504  0.00115575
          48      -5.465    -5.46504  0.00113168
          49     -5.4676    -5.46509  0.00110979
          50    -5.46198    -5.46503  0.00108934
