#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.40854     1.40854           0
           2     1.35093     1.37974   0.0203697
           3     1.40717     1.38888   0.0154973
           4      1.3899     1.38914   0.0116251
           5     1.40826     1.39296  0.00990923
           6     1.39327     1.39301  0.00825783
           7     1.35254     1.38723   0.0088741
           8      1.3899     1.38756  0.00777113
           9     1.39919     1.38886  0.00701422
          10     1.41718     1.39169  0.00686083
          11     1.38393     1.39098  0.00627327
          12     1.42298     1.39365  0.00629173
          13     1.34706     1.39007  0.00675165
          14     1.34857      1.3871  0.00688931
          15     1.41316     1.38884  0.00664537
          16     1.41925     1.39074  0.00649622
          17     1.46787     1.39528  0.00753354
          18     1.39039     1.39501  0.00711991
          19     1.38505     1.39448  0.00676441
          20     1.48792     1.39915  0.00787589
          21     1.45051      1.4016  0.00787136
          22      1.4423     1.40345   0.0077279
          23     1.42428     1.40435  0.00744479
          24     1.37329     1.40306  0.00724626
          25     1.33956     1.40052  0.00738822
          26     1.36751     1.39925  0.00721229
          27     1.38526     1.39873  0.00696377
          28     1.35089     1.39702  0.00692152
          29     1.31182     1.39409  0.00727981
          30     1.38976     1.39394  0.00703858
          31     1.35444     1.39267   0.0069259
          32     1.38261     1.39235  0.00671659
          33     1.33545     1.39063  0.00673076
          34     1.37898     1.39029  0.00654152
          35     1.43163     1.39147   0.0064604
          36     1.38839     1.39138  0.00628151
          37     1.40435     1.39173  0.00612152
          38     1.39275     1.39176  0.00596048
          39     1.38788     1.39166  0.00580848
          40     1.43249     1.39268  0.00575225
          41     1.40106     1.39288  0.00561558
          42     1.36039     1.39211  0.00553492
          43     1.38995     1.39206  0.00540643
          44     1.46022     1.39361  0.00550103
          45     1.40992     1.39397  0.00539072
          46     1.30491     1.39204  0.00561048
          47     1.37457     1.39166  0.00550339
          48      1.4057     1.39196   0.0053965
          49     1.37067     1.39152  0.00530383
          50     1.43096     1.39231  0.00525606
