#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.43189    -5.43189           0
           2    -5.42652    -5.42921  0.00190131
           3    -5.42969    -5.42937  0.00127433
           4    -5.43296    -5.43026   0.0012322
           5    -5.42547    -5.42931  0.00130646
           6    -5.43182    -5.42972  0.00115376
           7    -5.42957     -5.4297 0.000989164
           8    -5.42482    -5.42909  0.00103678
           9    -5.41564     -5.4276  0.00168353
          10    -5.42236    -5.42707  0.00159458
          11    -5.44182    -5.42841  0.00193281
          12    -5.44419    -5.42973  0.00217339
          13    -5.42475    -5.42935  0.00203966
          14    -5.42724     -5.4292  0.00189951
          15    -5.41513    -5.42826  0.00199088
          16    -5.43589    -5.42874   0.0019227
          17    -5.40772     -5.4275  0.00217099
          18    -5.44334    -5.42838  0.00222151
          19    -5.44119    -5.42905  0.00220453
          20    -5.43557    -5.42938  0.00211822
          21     -5.4401    -5.42989  0.00207791
          22     -5.4307    -5.42993  0.00198379
          23    -5.43958    -5.43035   0.0019414
          24    -5.42472    -5.43011   0.0018746
          25    -5.42575    -5.42994  0.00180771
          26    -5.42762    -5.42985  0.00174038
          27    -5.43264    -5.42995  0.00167899
          28     -5.4259    -5.42981  0.00162524
          29    -5.42525    -5.42965  0.00157675
          30    -5.41939    -5.42931  0.00156081
          31    -5.45009    -5.42998  0.00164815
          32    -5.40833     -5.4293  0.00172998
          33    -5.44383    -5.42974  0.00173266
          34    -5.44219    -5.43011  0.00171994
          35    -5.43935    -5.43037  0.00169095
          36    -5.44884    -5.43088  0.00172004
          37    -5.44467    -5.43126  0.00171342
          38    -5.44722    -5.43168  0.00171905
          39    -5.43173    -5.43168  0.00167497
          40    -5.42453     -5.4315  0.00164259
          41    -5.42735     -5.4314  0.00160565
          42    -5.42378    -5.43122  0.00157762
          43     -5.4277    -5.43114  0.00154306
          44    -5.43675    -5.43126  0.00151325
          45    -5.42976    -5.43123  0.00147999
          46    -5.42605    -5.43112   0.0014521
          47    -5.44441     -5.4314  0.00144849
          48    -5.45693    -5.43193  0.00151278
          49    -5.42863    -5.43186  0.00148341
          50    -5.43619    -5.43195  0.00145627
