#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.56928     1.56928           0
           2     1.59509     1.58219  0.00912782
           3     1.58613      1.5835  0.00617921
           4     1.60032      1.5877  0.00589374
           5      1.6141     1.59298  0.00667299
           6      1.5815     1.59107  0.00582872
           7     1.57559     1.58886  0.00539934
           8     1.58559     1.58845   0.0047399
           9     1.63394      1.5935  0.00636118
          10     1.61441      1.5956  0.00605895
          11     1.54227     1.59075  0.00719043
          12     1.55226     1.58754  0.00727154
          13     1.61134     1.58937  0.00693879
          14     1.59276     1.58961  0.00644738
          15     1.60608     1.59071  0.00611033
          16     1.55355     1.58839  0.00615409
          17     1.72989     1.59671  0.00993761
          18     1.56135     1.59475   0.0095777
          19     1.52458     1.59105  0.00975968
          20     1.55748     1.58938  0.00941499
          21     1.53067     1.58658  0.00937255
          22       1.568     1.58574  0.00898448
          23     1.51972     1.58287  0.00904074
          24      1.6034     1.58372  0.00870442
          25     1.60074      1.5844  0.00838283
          26     1.49508     1.58097  0.00873605
          27      1.5569     1.58007  0.00845783
          28     1.58729     1.58033  0.00815968
          29     1.58189     1.58039  0.00787849
          30     1.62813     1.58198  0.00777498
          31     1.43934     1.57738  0.00878075
          32     1.69132     1.58094  0.00920007
          33     1.51931     1.57907  0.00910886
          34     1.49345     1.57655  0.00918248
          35     1.57276     1.57644  0.00892077
          36     1.54836     1.57566    0.008707
          37     1.52535      1.5743  0.00857719
          38     1.51981     1.57287   0.0084705
          39     1.58509     1.57318   0.0082591
          40     1.58647     1.57351   0.0080593
          41     1.58311     1.57375  0.00786612
          42     1.57402     1.57376  0.00767884
          43     1.62119     1.57486  0.00757909
          44     1.56782      1.5747  0.00740853
          45     1.55581     1.57428  0.00725578
          46     1.58048     1.57441   0.0070993
          47     1.54892     1.57387  0.00696893
          48     1.44208     1.57113   0.0073447
          49     1.62008     1.57212  0.00726245
          50     1.54776     1.57164  0.00713353
