#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.67764     1.67764           0
           2     1.67212     1.67488  0.00195292
           3     1.67605     1.67527  0.00134022
           4     1.67946     1.67632  0.00135318
           5     1.67123      1.6753  0.00141469
           6     1.67791     1.67573  0.00124385
           7     1.67564     1.67572  0.00106622
           8     1.67133     1.67517  0.00106507
           9     1.66232     1.67374  0.00164613
          10     1.66871     1.67324  0.00155654
          11     1.68899     1.67467  0.00196636
          12     1.69008     1.67596  0.00218184
          13     1.66979     1.67548  0.00206499
          14     1.67328     1.67532  0.00192348
          15     1.66207     1.67444  0.00198785
          16     1.68221     1.67493  0.00192199
          17     1.65455     1.67373  0.00215029
          18     1.68865     1.67456  0.00218475
          19     1.68777     1.67525  0.00217757
          20      1.6812     1.67555  0.00208887
          21     1.68587     1.67604  0.00204644
          22      1.6774      1.6761  0.00195435
          23     1.68552     1.67651  0.00191175
          24     1.67064     1.67627  0.00184771
          25     1.67183     1.67609  0.00178232
          26     1.67226     1.67594  0.00171983
          27     1.67914     1.67606   0.0016602
          28      1.6719     1.67591  0.00160755
          29     1.67077     1.67573  0.00156186
          30       1.666     1.67541   0.0015431
          31     1.69518     1.67605   0.0016197
          32     1.65531      1.6754  0.00169375
          33     1.68981     1.67584  0.00169778
          34     1.68725     1.67617  0.00168072
          35     1.68535     1.67643  0.00165301
          36     1.69469     1.67694  0.00168311
          37     1.69033      1.6773  0.00167604
          38     1.69261     1.67771  0.00167966
          39     1.67733      1.6777  0.00163662
          40     1.67002      1.6775   0.0016069
          41     1.67299     1.67739  0.00157148
          42     1.66961     1.67721  0.00154495
          43     1.67515     1.67716  0.00150976
          44     1.68355     1.67731  0.00148241
          45     1.67601     1.67728  0.00144975
          46     1.67205     1.67716  0.00142269
          47     1.68992     1.67744  0.00141808
          48     1.70193     1.67795   0.0014775
          49     1.67429     1.67787  0.00144923
          50     1.68151     1.67794  0.00142207
