#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.872612    0.872612           0
           2    0.887403    0.880007  0.00522934
           3    0.907728    0.889247  0.00831102
           4    0.916266    0.896002   0.0085483
           5    0.911835    0.899169  0.00740195
           6     0.88034    0.896031  0.00680103
           7    0.893876    0.895723  0.00583641
           8    0.899431    0.896186  0.00512524
           9    0.884966     0.89494  0.00470496
          10    0.884511    0.893897  0.00434851
          11    0.887023    0.893272  0.00399784
          12     0.92077    0.895563  0.00427122
          13    0.883399    0.894628  0.00404387
          14    0.889773    0.894281  0.00376986
          15    0.903045    0.894865  0.00356352
          16    0.857534    0.892532  0.00403295
          17    0.899865    0.892963  0.00381871
          18      0.9134    0.894099  0.00377156
          19    0.939054    0.896465  0.00425094
          20    0.806682    0.891976  0.00595429
           1    0.727806    0.727806           0
           2     0.74827    0.738038  0.00723512
           3     0.76328    0.746452  0.00839409
           4    0.768083     0.75186  0.00784645
           5     0.67462    0.736412   0.0151761
           6    0.759932    0.740332   0.0131433
           7    0.688194    0.732883   0.0132086
           8    0.698553    0.728592   0.0122348
           9    0.762018    0.732306   0.0114252
          10    0.734348     0.73251   0.0102845
          11    0.709102    0.730382  0.00956714
          12    0.782852    0.734755  0.00971781
          13    0.750162     0.73594  0.00904228
          14    0.783799    0.739358  0.00901949
          15    0.753341    0.740291  0.00846622
          16    0.729969    0.739645  0.00796162
          17      0.6935    0.736931  0.00794255
          18    0.756944    0.738043  0.00757872
          19    0.714829    0.736821  0.00727766
          20    0.733728    0.736666  0.00691542
           1    0.524702    0.524702           0
           2    0.550078     0.53739  0.00897177
           3     0.52805    0.534277  0.00649891
           4    0.556582    0.539853  0.00686135
           5    0.571032    0.546089  0.00782548
           6    0.553957      0.5474   0.0066302
           7    0.519813    0.543459  0.00675347
           8    0.556385    0.545075  0.00609951
           9    0.526574    0.543019  0.00575779
          10    0.566554    0.545373  0.00564252
          11    0.523574    0.543391  0.00546649
          12    0.527786    0.542091   0.0051633
          13    0.560488    0.543506  0.00495627
          14    0.539802    0.543241  0.00460931
          15    0.588668     0.54627  0.00520266
          16    0.561147    0.547199  0.00495989
          17    0.545103    0.547076  0.00466967
          18    0.544503    0.546933  0.00441243
          19    0.530388    0.546062  0.00426526
          20    0.565882    0.547053  0.00416553
           1    0.423564    0.423564           0
           2    0.389305    0.406434   0.0121125
           3    0.388908    0.400592  0.00937858
           4     0.40824    0.402504  0.00722617
           5     0.41759    0.405521   0.0063798
           6    0.421263    0.408145  0.00583105
           7    0.386889    0.405108  0.00573446
           8    0.407416    0.405397   0.0050249
           9    0.426064    0.407693  0.00496365
          10    0.422913    0.409215  0.00469484
          11    0.392236    0.407672  0.00451465
          12    0.398561    0.406912  0.00420178
          13    0.391852    0.405754  0.00403511
          14    0.383782    0.404185  0.00404059
          15    0.400871    0.403964  0.00377726
          16    0.397254    0.403544  0.00356438
          17    0.417694    0.404377  0.00345052
          18    0.398262    0.404037   0.0032755
          19    0.367878    0.402134  0.00361391
          20    0.382811    0.401168  0.00356002
           1    0.314669    0.314669           0
           2    0.289397    0.302033    0.008935
           3    0.278177    0.294081  0.00881117
           4    0.277206    0.289862  0.00755109
           5    0.282542    0.288398  0.00618118
           6    0.289198    0.288531  0.00515242
           7    0.289917    0.288729  0.00442016
           8    0.298564    0.289959  0.00403499
           9    0.286064    0.289526  0.00360978
          10    0.298159    0.290389  0.00335045
          11    0.303932     0.29162  0.00326425
          12    0.282296    0.290843  0.00308333
          13    0.289108     0.29071  0.00284904
          14    0.269475    0.289193  0.00302244
          15    0.282467    0.288745  0.00285401
          16    0.281805    0.288311  0.00270839
          17    0.284872    0.288109  0.00255662
          18    0.280284    0.287674  0.00245126
          19    0.290239    0.287809  0.00232596
          20    0.290901    0.287964   0.0022148
           1    0.203729    0.203729           0
           2    0.221242    0.212485  0.00619171
           3    0.208724    0.211231  0.00425284
           4    0.208514    0.210552  0.00324343
           5    0.211382    0.210718  0.00259899
           6     0.22541    0.213167  0.00311248
           7    0.226956    0.215137   0.0032316
           8    0.215369    0.215166  0.00282778
           9    0.210392    0.214635  0.00256284
          10     0.23595    0.216767  0.00306738
          11    0.228591    0.217842  0.00297092
          12    0.223844    0.218342  0.00276513
          13    0.211968    0.217852  0.00259554
          14    0.222392    0.218176  0.00243032
          15    0.217604    0.218138  0.00226859
          16    0.203516    0.217224  0.00230354
          17    0.232214    0.218106   0.0023307
          18    0.214011    0.217878  0.00221229
          19    0.212483    0.217594    0.002114
          20    0.207908     0.21711  0.00206304
           1    0.167922    0.167922           0
           2    0.184541    0.176231  0.00587563
           3     0.17964    0.177367  0.00402542
           4    0.174764    0.176717  0.00307122
           5    0.164828    0.174339  0.00324956
           6    0.167502      0.1732  0.00290086
           7    0.170578    0.172825  0.00251051
           8    0.166441    0.172027  0.00232005
           9    0.164747    0.171218  0.00219877
          10    0.163376    0.170434  0.00211414
          11    0.167922    0.170206  0.00193423
          12    0.170305    0.170214  0.00177306
          13     0.16927    0.170141  0.00163816
          14    0.167726    0.169969  0.00153021
          15    0.164053    0.169574  0.00147814
          16    0.168446    0.169504  0.00138744
          17    0.175412    0.169851  0.00134865
          18    0.174414    0.170105  0.00129733
          19    0.165996    0.169889  0.00124694
          20    0.176331    0.170211  0.00122549
           1     0.14201     0.14201           0
           2    0.133695    0.137853  0.00294001
           3    0.139799    0.138501  0.00203035
           4    0.130903    0.136602  0.00224167
           5    0.131555    0.135592  0.00200778
           6     0.12773    0.134282   0.0020568
           7    0.137171    0.134695  0.00180391
           8    0.141542    0.135551  0.00176986
           9    0.129839    0.134916  0.00168314
          10    0.136734    0.135098  0.00152461
          11    0.124243    0.134111  0.00167521
          12    0.149614    0.135403  0.00197183
          13     0.13978     0.13574  0.00184867
          14    0.141354    0.136141  0.00175958
          15    0.126617    0.135506  0.00175309
          16    0.133885    0.135404  0.00164645
          17     0.14459    0.135945  0.00163585
          18    0.128784    0.135547  0.00159261
          19    0.137546    0.135652  0.00151226
          20    0.142557    0.135997  0.00147552
           1     0.11453     0.11453           0
           2    0.111413    0.112972  0.00110196
           3    0.106078    0.110674   0.0020148
           4    0.111473    0.110874  0.00152098
           5    0.119159    0.112531  0.00191758
           6    0.105953    0.111434  0.00188548
           7     0.11164    0.111464  0.00161635
           8    0.114838    0.111886  0.00146831
           9    0.118775    0.112651  0.00149142
          10    0.113182    0.112704  0.00134323
          11    0.115933    0.112998  0.00125277
          12    0.112764    0.112978  0.00114853
          13    0.121549    0.113638    0.001235
          14    0.113956     0.11366    0.001147
          15    0.116846    0.113873  0.00109001
          16    0.118392    0.114155  0.00105785
