#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.11843     1.11843           0
           2     1.11475     1.11659  0.00130195
           3     1.11737     1.11685 0.000893478
           4     1.11964     1.11754  0.00090212
           5     1.11415     1.11687 0.000943129
           6      1.1186     1.11716 0.000829232
           7      1.1171     1.11715 0.000710814
           8     1.11422     1.11678 0.000710049
           9     1.10821     1.11583  0.00109742
          10     1.11247     1.11549   0.0010377
          11     1.12599     1.11645  0.00131091
          12     1.12672      1.1173  0.00145456
          13     1.11319     1.11699  0.00137666
          14     1.11552     1.11688  0.00128232
          15     1.10805     1.11629  0.00132523
          16     1.12147     1.11662  0.00128132
          17     1.10304     1.11582  0.00143353
          18     1.12576     1.11637   0.0014565
          19     1.12518     1.11683  0.00145171
          20      1.1208     1.11703  0.00139258
          21     1.12392     1.11736  0.00136429
          22     1.11827      1.1174   0.0013029
          23     1.12368     1.11767   0.0012745
          24     1.11376     1.11751   0.0012318
          25     1.11455     1.11739  0.00118821
          26     1.11484     1.11729  0.00114656
          27     1.11942     1.11737   0.0011068
          28      1.1146     1.11727   0.0010717
          29     1.11385     1.11716  0.00104124
          30     1.11067     1.11694  0.00102873
          31     1.13012     1.11736   0.0010798
          32     1.10354     1.11693  0.00112917
          33     1.12654     1.11722  0.00113185
          34     1.12483     1.11745  0.00112048
          35     1.12356     1.11762  0.00110201
          36      1.1298     1.11796  0.00112207
          37     1.12688      1.1182  0.00111736
          38     1.12841     1.11847  0.00111978
          39     1.11822     1.11846  0.00109108
          40     1.11335     1.11834  0.00107127
          41     1.11533     1.11826  0.00104765
          42     1.11307     1.11814  0.00102997
          43     1.11677     1.11811  0.00100651
          44     1.12237      1.1182 0.000988275
          45     1.11734     1.11819   0.0009665
          46      1.1147     1.11811 0.000948458
          47     1.12661     1.11829 0.000945384
          48     1.13462     1.11863    0.000985
          49     1.11619     1.11858 0.000966154
          50     1.12101     1.11863  0.00094805
