#     BLOCK:   ACTUAL_H:    H_AVE:      ERROR:
           1    0.220495    0.220495           0
           2    0.163455    0.191975   0.0201666
           3    0.285517    0.223155   0.0287908
           4    0.151941    0.205352   0.0265328
           5    0.222326    0.208747   0.0214423
           6       0.155    0.199789   0.0196508
           7    0.118444    0.188168   0.0199864
           8    0.215698    0.191609   0.0177818
           9    0.145343    0.186469   0.0165325
          10    0.133816    0.181203   0.0156953
          11   0.0188923    0.166448    0.020038
          12    0.134155    0.163757    0.018548
          13    0.123864    0.160688   0.0173732
          14    0.296048    0.170357   0.0186294
          15    0.141859    0.168457   0.0174841
          16    0.144835     0.16698   0.0164535
          17    0.122053    0.164338   0.0156965
          18    0.106021    0.161098   0.0151551
          19    0.122674    0.159076   0.0144918
          20    0.138253    0.158034   0.0138045
          21    0.100472    0.155293   0.0134166
          22    0.119521    0.153667   0.0129049
          23    0.247409    0.157743   0.0129714
          24    0.025617    0.152238   0.0135489
          25    0.162029    0.152629   0.0130126
          26    0.128956    0.151719    0.012544
          27    0.295318    0.157037   0.0131586
          28    0.195538    0.158412   0.0127603
          29    0.167992    0.158743   0.0123246
          30   0.0794332    0.156099    0.012194
          31    0.144651     0.15573   0.0118063
          32    0.142943     0.15533   0.0114441
          33    0.236703    0.157796   0.0113598
          34    0.158937     0.15783   0.0110258
          35    0.160684    0.157911    0.010711
          36    0.114286    0.156699   0.0104818
          37     0.16851    0.157019   0.0102034
          38     0.11868     0.15601  0.00998466
          39    0.149467    0.155842  0.00973005
          40    0.173056    0.156272  0.00949631
          41    0.146371    0.156031  0.00926776
          42    0.150886    0.155908  0.00904791
          43    0.249469    0.158084  0.00909535
          44     0.10952     0.15698  0.00895536
          45    0.116569    0.156082  0.00880126
          46    0.158307    0.156131  0.00861006
          47   0.0684283    0.154265  0.00862671
          48    0.164849    0.154485   0.0084498
          49    0.130716       0.154  0.00829127
          50   0.0985227    0.152891  0.00819935
          51   0.0478618    0.150831  0.00829317
          52    0.207803    0.151927  0.00820573
          53    0.145591    0.151807  0.00805178
          54    0.121199     0.15124   0.0079226
          55    0.116468    0.150608  0.00780374
          56    0.178889    0.151113  0.00768071
          57    0.162829    0.151319  0.00754871
          58   0.0601657    0.149747  0.00758039
          59   0.0600389    0.148227  0.00760287
          60    0.120924    0.147772  0.00748976
          61    0.114303    0.147223  0.00738705
          62    0.168511    0.147566  0.00727588
          63    0.187758    0.148204   0.0071883
          64    0.117807    0.147729  0.00709166
          65   0.0707539    0.146545  0.00708074
          66    0.046521     0.14503   0.0071338
          67    0.130903    0.144819  0.00703044
          68    0.189081     0.14547  0.00695712
          69     0.18942    0.146107  0.00688539
          70    0.213354    0.147067  0.00685372
          71    0.133813    0.146881  0.00675973
          72    0.102636    0.146266  0.00669372
          73    0.207521    0.147105  0.00665441
          74    0.175909    0.147494  0.00657586
          75    0.147295    0.147492  0.00648818
          76    0.192924     0.14809  0.00643029
          77    0.240345    0.149288  0.00645743
          78    0.149588    0.149292  0.00637465
          79    0.107176    0.148758  0.00631621
          80   0.0332895    0.147315  0.00640005
          81   0.0470308    0.146077  0.00643967
          82   0.0955203     0.14546  0.00639059
          83    0.169682    0.145752  0.00632025
          84    0.205085    0.146459  0.00628436
          85    0.140037    0.146383  0.00621088
          86    0.128176    0.146171  0.00614227
          87    0.105021    0.145698  0.00608985
          88    0.285996    0.147293  0.00622584
          89    0.163259    0.147472  0.00615847
          90    0.177103    0.147801  0.00609884
          91    0.132141    0.147629  0.00603424
          92    0.182653     0.14801  0.00598065
          93   0.0802185    0.147281   0.0059606
          94    0.126263    0.147057  0.00590138
          95     0.14169    0.147001  0.00583953
          96    0.219983    0.147761  0.00582798
          97   0.0491631    0.146745  0.00585587
          98   0.0677255    0.145938  0.00585136
          99    0.138219     0.14586  0.00579278
         100    0.174801     0.14615  0.00574208
         101   0.0456396    0.145155  0.00577081
         102   0.0795364    0.144511  0.00574998
         103    0.131626    0.144386  0.00569552
         104    0.130617    0.144254  0.00564229
         105    0.221891    0.144993   0.0056368
         106     0.12373    0.144793  0.00558719
         107    0.153928    0.144878  0.00553562
         108    0.104923    0.144508  0.00549672
         109    0.172893    0.144768  0.00545245
         110     0.20557    0.145321  0.00543083
         111    0.177788    0.145614  0.00538977
         112    0.123766    0.145419  0.00534518
         113     0.33077    0.147059  0.00554384
         114     0.22809     0.14777  0.00554059
         115    0.110881    0.147449  0.00550169
         116   0.0984127    0.147026  0.00547048
         117     0.15224    0.147071   0.0054239
         118    0.136903    0.146985  0.00537862
         119    0.211852     0.14753  0.00536098
         120   0.0939434    0.147083  0.00533487
         121    0.234744    0.147808  0.00533974
         122   0.0718981    0.147185   0.0053321
         123    0.213853    0.147727  0.00531623
         124    0.165387     0.14787  0.00527526
         125    0.107177    0.147544   0.0052431
         126    0.115388    0.147289  0.00520769
         127     0.19212    0.147642  0.00517864
         128    0.239541     0.14836  0.00518771
         129    0.182274    0.148623  0.00515415
         130    0.136076    0.148526  0.00511541
         131    0.183497    0.148793  0.00508332
         132    0.105968    0.148469  0.00505515
         133    0.133331    0.148355  0.00501842
         134    0.178737    0.148582  0.00498609
         135    0.107313    0.148276  0.00495852
         136     0.17657    0.148484  0.00492642
         137    0.138452    0.148411  0.00489101
         138    0.131648    0.148289  0.00485707
         139   0.0685243    0.147716  0.00485591
         140     0.12962    0.147586  0.00482295
         141   0.0936068    0.147204  0.00480391
         142    0.135452    0.147121  0.00477079
