#     BLOCK:   ACTUAL_H:    H_AVE:      ERROR:
           1   -0.453081   -0.453081           0
           2   -0.455938    -0.45451  0.00100982
           3   -0.444971    -0.45133  0.00268184
           4   -0.453192   -0.451796  0.00205139
           5   -0.439327   -0.449302  0.00276914
           6   -0.447259   -0.448962  0.00232845
           7   -0.452169    -0.44942   0.0020404
           8   -0.439244   -0.448148  0.00214551
           9   -0.423858   -0.445449  0.00317991
          10   -0.448279   -0.445732  0.00287448
          11    -0.45518   -0.446591  0.00273849
          12   -0.438643   -0.445929  0.00258913
          13   -0.449144   -0.446176  0.00240175
          14   -0.444611   -0.446064  0.00223279
          15   -0.439855    -0.44565  0.00212196
          16   -0.451269   -0.446001  0.00201819
          17   -0.454049   -0.446475   0.0019542
          18   -0.440172   -0.446125  0.00187674
          19   -0.449273    -0.44629  0.00178526
          20    -0.45719   -0.446835  0.00177723
          21   -0.454228   -0.447187  0.00172712
          22    -0.44274   -0.446985   0.0016604
          23   -0.450527   -0.447139  0.00159533
          24   -0.445422   -0.447068  0.00153046
          25   -0.438707   -0.446733  0.00150534
          26   -0.447721   -0.446771  0.00144792
          27   -0.441328    -0.44657  0.00140826
          28   -0.450983   -0.446727  0.00136675
          29    -0.45432   -0.446989  0.00134447
          30   -0.449141   -0.447061  0.00130156
          31   -0.430519   -0.446527  0.00136459
          32   -0.447416   -0.446555  0.00132223
          33   -0.451168   -0.446695  0.00128953
          34   -0.446611   -0.446692   0.0012516
          35   -0.448259   -0.446737  0.00121664
          36   -0.453563   -0.446927  0.00119753
          37    -0.44815    -0.44696  0.00116562
          38   -0.440704   -0.446795  0.00114651
          39   -0.453034   -0.446955  0.00112822
          40   -0.445728   -0.446924  0.00110043
          41   -0.447118   -0.446929   0.0010736
          42    -0.46226   -0.447294  0.00110836
          43   -0.454846    -0.44747  0.00109641
          44    -0.44762   -0.447473  0.00107149
          45   -0.429673   -0.447078  0.00111831
          46    -0.45134    -0.44717  0.00109783
          47   -0.449585   -0.447222  0.00107568
          48   -0.444629   -0.447168  0.00105462
          49   -0.440487   -0.447031  0.00104188
          50   -0.446394   -0.447019  0.00102112
          51    -0.44853   -0.447048  0.00100152
          52   -0.448999   -0.447086 0.000982967
          53   -0.441886   -0.446988 0.000969303
          54   -0.423565   -0.446554   0.0010439
          55   -0.435032   -0.446344  0.00104573
          56    -0.44172   -0.446262  0.00103031
          57    -0.45712   -0.446452   0.0010297
          58   -0.440467   -0.446349   0.0010171
          59   -0.450708   -0.446423  0.00100254
          60   -0.434857    -0.44623   0.0010042
          61   -0.429516   -0.445956  0.00102443
          62   -0.450378   -0.446027  0.00101039
          63   -0.442505   -0.445972 0.000995899
          64   -0.450246   -0.446038 0.000982575
          65   -0.462588   -0.446293 0.000999904
          66   -0.454639   -0.446419 0.000992719
          67   -0.430781   -0.446186  0.00100497
          68   -0.446105   -0.446185 0.000990191
          69   -0.449543   -0.446233 0.000977035
          70   -0.449475    -0.44628 0.000964175
          71   -0.445296   -0.446266 0.000950694
          72   -0.444698   -0.446244  0.00093774
          73   -0.447468   -0.446261 0.000925044
          74   -0.429421   -0.446033 0.000940119
          75   -0.453767   -0.446136 0.000933222
          76   -0.438017    -0.44603 0.000927039
          77   -0.440024   -0.445952 0.000918275
          78   -0.459618   -0.446127 0.000923066
          79   -0.447878   -0.446149 0.000911648
          80   -0.443164   -0.446112 0.000901016
          81   -0.449404   -0.446152 0.000890808
          82   -0.441231   -0.446092 0.000881965
          83   -0.443587   -0.446062 0.000871855
          84   -0.448973   -0.446097 0.000862164
          85   -0.438441   -0.446007 0.000856713
          86   -0.447408   -0.446023 0.000846907
          87   -0.453914   -0.446114 0.000842015
          88   -0.445079   -0.446102 0.000832529
          89   -0.438584   -0.446018 0.000827449
          90   -0.453576   -0.446101 0.000822506
          91   -0.452456   -0.446171 0.000816426
          92   -0.446848   -0.446179 0.000807585
          93   -0.432846   -0.446035 0.000811526
          94   -0.447365   -0.446049 0.000803016
          95   -0.438184   -0.445967  0.00079882
          96    -0.43998   -0.445904 0.000792929
          97   -0.455686   -0.446005 0.000791141
          98   -0.441334   -0.445957 0.000784502
          99   -0.432779   -0.445824  0.00078779
         100   -0.443423     -0.4458 0.000780278
         101   -0.453662   -0.445878 0.000776426
         102   -0.436988   -0.445791  0.00077369
         103   -0.434718   -0.445684 0.000773612
         104   -0.425822   -0.445493 0.000789395
         105   -0.433059   -0.445374 0.000790709
         106   -0.453589   -0.445452 0.000787039
         107   -0.436371   -0.445367 0.000784246
         108   -0.445499   -0.445368 0.000776985
         109   -0.446947   -0.445382 0.000769992
         110   -0.442442   -0.445356 0.000763456
         111   -0.451044   -0.445407 0.000758296
         112    -0.44328   -0.445388 0.000751763
         113   -0.450402   -0.445432 0.000746418
         114   -0.439716   -0.445382 0.000741553
         115   -0.439723   -0.445333 0.000736736
         116   -0.453066     -0.4454 0.000733395
         117   -0.452356   -0.445459 0.000729533
         118   -0.453609   -0.445528 0.000726612
         119   -0.449736   -0.445564 0.000721366
         120   -0.444949   -0.445558 0.000715372
         121   -0.434455   -0.445467 0.000715322
         122   -0.444711    -0.44546 0.000709485
         123   -0.458204   -0.445564 0.000711241
         124   -0.446369   -0.445571 0.000705535
         125   -0.454081   -0.445639 0.000703168
         126   -0.441732   -0.445608 0.000698271
         127   -0.453213   -0.445668 0.000695336
         128    -0.45356   -0.445729 0.000692632
         129   -0.456078   -0.445809 0.000691894
         130    -0.44346   -0.445791 0.000686807
         131   -0.446814   -0.445799 0.000681609
         132   -0.430366   -0.445682 0.000686399
         133   -0.437833   -0.445623 0.000683771
         134    -0.44018   -0.445583 0.000679873
         135   -0.443955   -0.445571 0.000674944
         136   -0.448504   -0.445592 0.000670326
         137   -0.443554   -0.445577 0.000665598
         138   -0.435199   -0.445502  0.00066501
         139     -0.4296   -0.445388 0.000669994
         140   -0.447795   -0.445405 0.000665429
         141   -0.445105   -0.445403 0.000660713
         142   -0.447393   -0.445417 0.000656209
         143   -0.445331   -0.445416  0.00065162
         144   -0.438206   -0.445366 0.000649016
         145   -0.450058   -0.445398 0.000645346
         146   -0.448373   -0.445419 0.000641247
         147   -0.462388   -0.445534 0.000647192
         148   -0.447297   -0.445546 0.000642928
         149   -0.455749   -0.445615 0.000642249
         150   -0.451262   -0.445652  0.00063907
         151    -0.44168   -0.445626 0.000635379
         152   -0.457186   -0.445702 0.000635734
