#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    0.310212    0.310212           0
           2    0.325057    0.317635  0.00524829
           3    0.316267    0.317179  0.00351862
           4    0.310007    0.315386   0.0030619
           5    0.319059     0.31612  0.00253613
           6      0.3112      0.3153   0.0022421
           7    0.333118    0.317846  0.00304084
           8     0.31476     0.31746  0.00268509
           9    0.340465    0.320016  0.00339179
          10    0.313723    0.319387  0.00311044
          11    0.315978    0.319077  0.00284307
          12    0.342792    0.321053  0.00322057
          13    0.314414    0.320542  0.00301306
          14    0.310162    0.319801  0.00288762
          15    0.343451    0.321378  0.00309576
          16    0.331532    0.322012  0.00296661
          17    0.341783    0.323175  0.00301144
          18    0.311252    0.322513  0.00291608
          19    0.338091    0.323333  0.00287556
          20    0.308949    0.322614  0.00282029
          21    0.334943    0.323201  0.00274642
          22    0.308401    0.322528  0.00270271
          23    0.307653    0.321881  0.00266146
          24    0.305584    0.321202  0.00263578
          25    0.330701    0.321582  0.00255758
          26    0.326466     0.32177   0.0024661
          27    0.336021    0.322298   0.0024306
          28     0.33294    0.322678  0.00237332
          29    0.290555     0.32157  0.00253684
          30     0.32672    0.321742  0.00245808
          31    0.327071    0.321914  0.00238479
          32    0.326482    0.322056  0.00231454
          33    0.301679    0.321439  0.00232531
          34    0.341196     0.32202   0.0023284
          35    0.342852    0.322615   0.0023367
          36    0.316271    0.322439  0.00227843
          37    0.323358    0.322464  0.00221699
          38    0.309678    0.322127  0.00218403
          39    0.322892    0.322147  0.00212812
          40    0.327672    0.322285  0.00207939
          41     0.34373    0.322808  0.00209343
          42    0.334482    0.323086  0.00206195
          43    0.334578    0.323353  0.00203125
          44    0.331049    0.323528   0.0019926
          45    0.314667    0.323331  0.00195803
          46    0.324365    0.323354  0.00191559
          47    0.317498    0.323229  0.00187888
          48    0.290081    0.322539  0.00196255
          49    0.316872    0.322423   0.0019259
          50    0.327757     0.32253  0.00189034
          51    0.306581    0.322217  0.00187896
          52     0.33778    0.322516  0.00186651
          53    0.347964    0.322996  0.00189204
          54    0.347529    0.323451  0.00191077
          55    0.341566     0.32378   0.0019042
          56    0.336708    0.324011  0.00188414
          57    0.340234    0.324296  0.00187246
          58    0.302097    0.323913  0.00187888
          59    0.319355    0.323836  0.00184863
          60     0.29496    0.323354  0.00187941
          61    0.293276    0.322861   0.0019122
          62    0.327169    0.322931  0.00188262
          63    0.319753     0.32288  0.00185341
          64    0.305353    0.322606  0.00184457
          65    0.302523    0.322297  0.00184189
          66    0.325597    0.322347  0.00181466
          67    0.334936    0.322535  0.00179727
          68    0.323015    0.322542  0.00177086
          69    0.316646    0.322457  0.00174725
          70    0.327692    0.322532  0.00172389
          71     0.32147    0.322517  0.00169968
          72    0.312975    0.322384  0.00168123
