#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.763294   -0.763294           0
           2   -0.780994   -0.772144  0.00625811
           3   -0.761238   -0.768509  0.00512025
           4   -0.763199   -0.767181  0.00400856
           5   -0.758386   -0.765422    0.003572
           6   -0.758459   -0.764262  0.00315956
           7   -0.785287   -0.767265  0.00388162
           8   -0.754004   -0.765608  0.00373366
           9   -0.764323   -0.765465  0.00332154
          10   -0.762002   -0.765119  0.00300738
          11   -0.771158   -0.765668  0.00278363
          12   -0.781435   -0.766982  0.00284493
          13   -0.763558   -0.766718  0.00263825
          14   -0.754773   -0.765865  0.00258408
          15   -0.783306   -0.767028  0.00266057
          16     -0.7828   -0.768014  0.00267068
          17   -0.795832    -0.76965  0.00297292
          18   -0.751424   -0.768637  0.00297519
          19   -0.787364   -0.769623  0.00297739
          20   -0.766138   -0.769449  0.00283361
          21   -0.789171   -0.770388  0.00285007
          22   -0.751141   -0.769513  0.00285163
          23   -0.758179    -0.76902   0.0027699
          24   -0.751006    -0.76827  0.00275431
          25   -0.769408   -0.768315  0.00264452
          26   -0.774187   -0.768541  0.00255243
          27   -0.777349   -0.768867  0.00247865
          28   -0.783923   -0.769405  0.00244776
          29   -0.744875   -0.768559  0.00250525
          30   -0.775861   -0.768803  0.00243354
          31    -0.75759   -0.768441  0.00238176
          32   -0.773898   -0.768611  0.00231343
          33   -0.752847   -0.768134  0.00229212
          34   -0.787807   -0.768712  0.00229657
          35   -0.791111   -0.769352  0.00231841
          36   -0.769834   -0.769366  0.00225405
          37   -0.771508   -0.769424  0.00219387
          38   -0.750382   -0.768923  0.00219262
          39   -0.775926   -0.769102  0.00214374
          40     -0.7734    -0.76921  0.00209284
          41   -0.790848   -0.769737  0.00210729
          42   -0.796742    -0.77038  0.00215298
          43   -0.789423   -0.770823  0.00214797
          44   -0.778669   -0.771001  0.00210654
          45    -0.74434   -0.770409  0.00214143
          46   -0.775704   -0.770524  0.00209797
          47   -0.767084   -0.770451  0.00205461
          48    -0.73471   -0.769706  0.00214249
          49   -0.757359   -0.769454  0.00211353
          50   -0.774151   -0.769548  0.00207334
          51   -0.755111   -0.769265  0.00205192
          52   -0.786779   -0.769602  0.00203992
          53    -0.78985   -0.769984  0.00203689
          54   -0.771094   -0.770005  0.00199927
          55   -0.776598   -0.770124  0.00196651
          56   -0.778428   -0.770273  0.00193698
          57   -0.797354   -0.770748   0.0019604
          58   -0.742564   -0.770262  0.00198591
          59   -0.770063   -0.770258  0.00195225
          60   -0.729817   -0.769584  0.00203275
          61   -0.722792   -0.768817  0.00213927
          62   -0.777547   -0.768958  0.00210939
          63   -0.762258   -0.768852  0.00207859
          64     -0.7556   -0.768645   0.0020564
          65   -0.765112    -0.76859  0.00202548
          66   -0.780236   -0.768767  0.00200246
          67   -0.765717   -0.768721  0.00197309
          68   -0.769119   -0.768727  0.00194409
          69    -0.76619    -0.76869  0.00191626
          70   -0.777168   -0.768811  0.00189271
          71   -0.766766   -0.768783  0.00186627
          72   -0.757674   -0.768628  0.00184671
          73   -0.758632   -0.768491  0.00182649
          74   -0.746044   -0.768188  0.00182682
          75   -0.773187   -0.768255  0.00180368
          76   -0.760616   -0.768154  0.00178274
          77   -0.771448   -0.768197   0.0017601
          78   -0.773886    -0.76827  0.00173905
          79    -0.76083   -0.768176  0.00171958
          80   -0.778154   -0.768301  0.00170261
          81    -0.78249   -0.768476  0.00169058
          82   -0.765654   -0.768441  0.00167031
          83    -0.78003   -0.768581  0.00165601
          84   -0.782947   -0.768752   0.0016451
          85   -0.783102   -0.768921  0.00163439
          86   -0.766226   -0.768889  0.00161568
          87   -0.786296   -0.769089  0.00160945
