#     BLOCK:  ACTUAL_PSI:     PSI_AVE:      ERROR:
           1       -1.95       0.023           0
           1       -1.85       0.018           0
           1       -1.75       0.041           0
           1       -1.65       0.075           0
           1       -1.55        0.08           0
           1       -1.45       0.156           0
           1       -1.35        0.18           0
           1       -1.25       0.221           0
           1       -1.15       0.321           0
           1       -1.05       0.337           0
           1       -0.95       0.382           0
           1       -0.85       0.417           0
           1       -0.75       0.413           0
           1       -0.65       0.363           0
           1       -0.55       0.374           0
           1       -0.45       0.323           0
           1       -0.35       0.349           0
           1       -0.25       0.321           0
           1       -0.15       0.309           0
           1       -0.05       0.273           0
           1        0.05       0.323           0
           1        0.15       0.271           0
           1        0.25       0.319           0
           1        0.35       0.301           0
           1        0.45        0.32           0
           1        0.55       0.376           0
           1        0.65       0.449           0
           1        0.75       0.411           0
           1        0.85       0.451           0
           1        0.95       0.398           0
           1        1.05       0.294           0
           1        1.15       0.296           0
           1        1.25       0.281           0
           1        1.35       0.163           0
           1        1.45       0.136           0
           1        1.55       0.088           0
           1        1.65       0.058           0
           1        1.75       0.027           0
           1        1.85       0.028           0
           1        1.95        0.01           0
           2       -1.95      0.0195  0.00247487
           2       -1.85       0.013  0.00353553
           2       -1.75       0.035  0.00424264
           2       -1.65      0.0695  0.00388909
           2       -1.55      0.0855  0.00388909
           2       -1.45      0.1485   0.0053033
           2       -1.35      0.1905  0.00742462
           2       -1.25      0.2195  0.00106066
           2       -1.15       0.316  0.00353553
           2       -1.05      0.3245  0.00883883
           2       -0.95       0.356   0.0183848
           2       -0.85      0.3995   0.0123744
           2       -0.75       0.446   0.0233345
           2       -0.65      0.3965   0.0236881
           2       -0.55      0.3905   0.0116673
           2       -0.45       0.335  0.00848528
           2       -0.35       0.365   0.0113137
           2       -0.25       0.306   0.0106066
           2       -0.15       0.315  0.00424264
           2       -0.05       0.274 0.000707107
           2        0.05       0.299   0.0169706
           2        0.15       0.291   0.0141421
           2        0.25      0.3135  0.00388909
           2        0.35      0.3405   0.0279307
           2        0.45      0.3335  0.00954594
           2        0.55       0.366  0.00707107
           2        0.65       0.437  0.00848528
           2        0.75       0.414  0.00212132
           2        0.85       0.423    0.019799
           2        0.95      0.4075  0.00671751
           2        1.05       0.328   0.0240416
           2        1.15       0.282  0.00989949
           2        1.25        0.23   0.0360624
           2        1.35      0.1665  0.00247487
           2        1.45       0.131  0.00353553
           2        1.55       0.097  0.00636396
           2        1.65      0.0615  0.00247487
           2        1.75       0.033  0.00424264
           2        1.85      0.0165  0.00813173
           2        1.95       0.008  0.00141421
           3       -1.95   0.0193333  0.00165552
           3       -1.85       0.019   0.0054365
           3       -1.75   0.0343333  0.00288033
           3       -1.65   0.0696667  0.00259629
           3       -1.55       0.079  0.00590668
           3       -1.45       0.134   0.0123558
           3       -1.35    0.199333  0.00874749
           3       -1.25       0.219 0.000816497
           3       -1.15    0.305333  0.00902261
           3       -1.05       0.347   0.0192931
           3       -0.95       0.353   0.0124989
           3       -0.85    0.405667  0.00966475
           3       -0.75    0.431667    0.019467
           3       -0.65    0.390667   0.0164947
           3       -0.55        0.39  0.00778888
           3       -0.45    0.338333  0.00627753
           3       -0.35    0.356667    0.010158
           3       -0.25    0.307333  0.00715438
           3       -0.15       0.317  0.00326599
           3       -0.05       0.282  0.00654896
           3        0.05       0.301    0.011431
           3        0.15    0.286333   0.0101689
           3        0.25    0.312333  0.00276218
           3        0.35       0.327   0.0216384
           3        0.45    0.332333  0.00643486
           3        0.55    0.374333  0.00827759
           3        0.65       0.438  0.00571548
           3        0.75    0.406667  0.00615239
           3        0.85    0.426333    0.013477
           3        0.95    0.401667  0.00653764
           3        1.05    0.334667   0.0169269
           3        1.15       0.287   0.0077603
           3        1.25    0.245333   0.0271061
           3        1.35    0.171667  0.00452974
           3        1.45    0.126333  0.00448041
           3        1.55   0.0956667  0.00438009
           3        1.65       0.056  0.00478423
           3        1.75   0.0323333  0.00288033
           3        1.85   0.0193333  0.00589413
           3        1.95       0.009  0.00124722
           4       -1.95     0.01725  0.00219018
           4       -1.85     0.02125  0.00451906
           4       -1.75       0.033  0.00244949
           4       -1.65      0.0705  0.00207666
           4       -1.55      0.0855  0.00716327
           4       -1.45     0.14175   0.0114421
           4       -1.35      0.2005  0.00663796
           4       -1.25     0.21575  0.00288043
           4       -1.15     0.29575   0.0107085
           4       -1.05     0.34875   0.0145489
           4       -0.95     0.36225   0.0123307
           4       -0.85     0.38925   0.0159584
           4       -0.75     0.43875   0.0158366
           4       -0.65      0.4105   0.0211675
           4       -0.55      0.3825   0.0087357
           4       -0.45      0.3365  0.00496865
           4       -0.35       0.357  0.00762398
           4       -0.25     0.30625  0.00544719
           4       -0.15     0.31375   0.0037312
           4       -0.05     0.28625  0.00613774
           4        0.05      0.3005  0.00858414
           4        0.15     0.28425  0.00783721
           4        0.25       0.308  0.00428661
           4        0.35      0.3325   0.0169134
           4        0.45       0.341  0.00892328
           4        0.55       0.383  0.00974038
           4        0.65     0.42425   0.0126559
           4        0.75       0.399  0.00808548
           4        0.85     0.42225   0.0107085
           4        0.95     0.40625  0.00630848
           4        1.05     0.32725   0.0142275
           4        1.15     0.28725  0.00582425
           4        1.25      0.2535   0.0215247
           4        1.35     0.16575  0.00614792
           4        1.45      0.1255  0.00343693
           4        1.55     0.08925  0.00645538
           4        1.65     0.05775  0.00389511
           4        1.75     0.03275  0.00219018
           4        1.85     0.02025  0.00449131
           4        1.95      0.0085  0.00103078
           5       -1.95      0.0178  0.00181989
           5       -1.85      0.0216  0.00362877
           5       -1.75      0.0312  0.00253614
           5       -1.65      0.0724  0.00237655
           5       -1.55      0.0872  0.00592891
           5       -1.45      0.1378  0.00981183
           5       -1.35       0.189   0.0115758
           5       -1.25      0.2226  0.00654584
           5       -1.15      0.2956  0.00856785
           5       -1.05      0.3412   0.0134563
           5       -0.95       0.367   0.0107406
           5       -0.85      0.4056   0.0194126
           5       -0.75      0.4318   0.0141121
           5       -0.65      0.4076   0.0171315
           5       -0.55      0.3868  0.00797697
           5       -0.45      0.3428   0.0068958
           5       -0.35      0.3454   0.0120353
           5       -0.25         0.3  0.00708802
           5       -0.15      0.3124  0.00321994
           5       -0.05      0.2888  0.00541406
           5        0.05      0.2974  0.00740594
           5        0.15      0.2762  0.00954736
           5        0.25      0.3014  0.00682701
           5        0.35      0.3354   0.0137771
           5        0.45      0.3538   0.0134919
           5        0.55       0.386  0.00824136
           5        0.65      0.4268   0.0103784
           5        0.75      0.3974   0.0066248
           5        0.85       0.409   0.0146233
           5        0.95      0.4158  0.00992129
           5        1.05      0.3282   0.0114137
           5        1.15      0.2888  0.00486128
           5        1.25      0.2474   0.0180634
           5        1.35      0.1698  0.00610835
           5        1.45      0.1266  0.00292027
           5        1.55      0.0936  0.00646591
           5        1.65      0.0568  0.00322986
           5        1.75      0.0346  0.00240998
           5        1.85       0.023  0.00435431
           5        1.95      0.0084 0.000829458
           6       -1.95      0.0175   0.0015411
           6       -1.85      0.0215  0.00302536
           6       -1.75       0.031  0.00212132
           6       -1.65   0.0706667  0.00253494
           6       -1.55   0.0878333  0.00497447
           6       -1.45    0.136667  0.00824172
           6       -1.35        0.19  0.00968963
           6       -1.25    0.225167  0.00593678
           6       -1.15    0.294833  0.00717409
           6       -1.05    0.344333   0.0115726
           6       -0.95    0.370833  0.00961023
           6       -0.85       0.404   0.0162429
           6       -0.75    0.434667   0.0120477
           6       -0.65    0.408167   0.0142856
           6       -0.55      0.3835  0.00729821
           6       -0.45    0.339667  0.00641901
           6       -0.35    0.345167   0.0100317
           6       -0.25    0.299667  0.00591451
           6       -0.15    0.313833   0.0029853
           6       -0.05    0.285167  0.00559969
           6        0.05       0.297  0.00618241
           6        0.15    0.274333  0.00813657
           6        0.25    0.307667    0.008068
           6        0.35       0.337   0.0115734
           6        0.45       0.358    0.011879
           6        0.55    0.388333  0.00719053
           6        0.65      0.4245  0.00889991
           6        0.75    0.400833   0.0063483
           6        0.85    0.402833   0.0134235
           6        0.95    0.408667   0.0105242
           6        1.05      0.3295  0.00958514
           6        1.15    0.287833  0.00414606
           6        1.25       0.247   0.0150573
           6        1.35    0.172333    0.005591
           6        1.45    0.121333   0.0053886
           6        1.55   0.0911667  0.00582817
           6        1.65   0.0568333  0.00269172
           6        1.75   0.0401667  0.00546411
           6        1.85   0.0233333  0.00364133
           6        1.95  0.00833333 0.000693889
           7       -1.95   0.0161429  0.00182308
           7       -1.85   0.0195714  0.00314842
           7       -1.75       0.034   0.0033197
           7       -1.65   0.0662857  0.00460131
           7       -1.55   0.0887143  0.00434114
           7       -1.45    0.135286  0.00717909
           7       -1.35    0.187857  0.00853905
           7       -1.25    0.225571  0.00510245
           7       -1.15    0.295571  0.00618707
           7       -1.05    0.345714   0.0100015
           7       -0.95    0.372143  0.00832608
           7       -0.85    0.402714   0.0139733
           7       -0.75    0.426714   0.0126825
           7       -0.65       0.415   0.0137826
           7       -0.55    0.388714  0.00790173
           7       -0.45    0.342286  0.00601262
           7       -0.35    0.348857  0.00925253
           7       -0.25    0.297286  0.00552809
           7       -0.15       0.309  0.00515475
           7       -0.05    0.285714  0.00482643
           7        0.05    0.296143   0.0053583
           7        0.15    0.279571  0.00849455
           7        0.25    0.303714  0.00782386
           7        0.35    0.334714   0.0101433
           7        0.45    0.354429   0.0107054
           7        0.55    0.388857  0.00618236
           7        0.65    0.420286  0.00856837
           7        0.75    0.398714  0.00578427
           7        0.85    0.409143   0.0129038
           7        0.95    0.409143  0.00903153
           7        1.05    0.331571   0.0084367
           7        1.15       0.292  0.00524502
           7        1.25    0.246857   0.0129069
           7        1.35    0.169857   0.0053124
           7        1.45    0.123143  0.00491324
           7        1.55   0.0927143  0.00519699
           7        1.65   0.0582857  0.00267043
           7        1.75       0.037  0.00552545
           7        1.85   0.0224286  0.00323159
           7        1.95  0.00971429  0.00141008
           8       -1.95    0.016875  0.00173599
           8       -1.85     0.01975  0.00275993
           8       -1.75     0.03525  0.00313124
           8       -1.65      0.0655  0.00409268
           8       -1.55     0.09125  0.00447825
           8       -1.45      0.1355   0.0062849
           8       -1.35    0.185125  0.00789667
           8       -1.25    0.222375  0.00537336
           8       -1.15     0.29625  0.00545077
           8       -1.05    0.340875  0.00985272
           8       -0.95       0.375  0.00776007
           8       -0.85       0.397    0.013344
           8       -0.75    0.436625     0.01446
           8       -0.65      0.4115   0.0124962
           8       -0.55      0.3915  0.00738876
           8       -0.45    0.339125  0.00603489
           8       -0.35    0.349625  0.00812776
           8       -0.25     0.30175   0.0063903
           8       -0.15      0.3065   0.0050806
           8       -0.05      0.2825  0.00518411
           8        0.05      0.2955  0.00472692
           8        0.15    0.279625   0.0074329
           8        0.25    0.303125  0.00686804
           8        0.35    0.333375  0.00896336
           8        0.45     0.35625  0.00952095
           8        0.55    0.393375  0.00686462
           8        0.65      0.4175  0.00793725
           8        0.75      0.4055  0.00811827
           8        0.85     0.41075   0.0113904
           8        0.95     0.39875   0.0125284
           8        1.05     0.33525  0.00814469
           8        1.15     0.29675  0.00638785
           8        1.25    0.243625   0.0116913
           8        1.35    0.166625  0.00554509
           8        1.45      0.1245  0.00448261
           8        1.55    0.091625  0.00466013
           8        1.65     0.05875  0.00237664
           8        1.75     0.03975  0.00547651
           8        1.85    0.021625  0.00292584
           8        1.95      0.0095     0.00125
           9       -1.95   0.0181111  0.00193374
           9       -1.85   0.0205556  0.00256814
           9       -1.75   0.0344444  0.00288509
           9       -1.65       0.064  0.00390315
           9       -1.55   0.0891111  0.00446231
           9       -1.45       0.132  0.00648836
           9       -1.35    0.185444  0.00702572
           9       -1.25    0.220667  0.00504058
           9       -1.15    0.295111  0.00496269
           9       -1.05    0.345889  0.00995229
           9       -0.95    0.375333    0.006905
           9       -0.85    0.396889   0.0118618
           9       -0.75    0.435222   0.0129212
           9       -0.65    0.409667   0.0112415
           9       -0.55    0.389667  0.00679143
           9       -0.45    0.343889  0.00699637
           9       -0.35    0.348333   0.0073266
           9       -0.25    0.302111  0.00569046
           9       -0.15    0.304556    0.004874
           9       -0.05    0.281778  0.00465813
           9        0.05    0.293222   0.0047187
           9        0.15    0.276111  0.00739109
           9        0.25       0.301  0.00642526
           9        0.35    0.335556  0.00822839
           9        0.45    0.357889  0.00860296
           9        0.55    0.393111  0.00610696
           9        0.65    0.429889   0.0136458
           9        0.75    0.413333   0.0103256
           9        0.85    0.406333   0.0109477
           9        0.95       0.403   0.0118353
           9        1.05       0.337  0.00742535
           9        1.15    0.294444  0.00607994
           9        1.25    0.241111   0.0106591
           9        1.35    0.165778  0.00499327
           9        1.45    0.122222   0.0045264
           9        1.55   0.0898889    0.004454
           9        1.65   0.0571111  0.00261734
           9        1.75   0.0401111   0.0048799
           9        1.85   0.0215556  0.00260157
           9        1.95  0.00988889  0.00117004
          10       -1.95      0.0171  0.00198721
          10       -1.85       0.021  0.00234947
          10       -1.75      0.0349   0.0026323
          10       -1.65      0.0644  0.00353327
          10       -1.55      0.0877  0.00423332
          10       -1.45      0.1335  0.00601041
          10       -1.35      0.1869  0.00647217
          10       -1.25      0.2237  0.00537224
          10       -1.15      0.2913  0.00574639
          10       -1.05      0.3465   0.0089758
          10       -0.95      0.3779   0.0066745
          10       -0.85      0.3961   0.0107018
          10       -0.75      0.4331   0.0118021
          10       -0.65      0.4101   0.0101257
          10       -0.55      0.3895  0.00611433
          10       -0.45      0.3406  0.00702738
          10       -0.35      0.3487  0.00660311
          10       -0.25      0.3052  0.00590051
          10       -0.15      0.3057  0.00451896
          10       -0.05      0.2858  0.00566886
          10        0.05      0.2899  0.00528857
          10        0.15      0.2727  0.00739736
          10        0.25      0.3049  0.00686506
          10        0.35      0.3361  0.00742354
          10        0.45      0.3612   0.0083556
          10        0.55      0.3904  0.00606828
          10        0.65      0.4294     0.01229
          10        0.75      0.4123  0.00934457
          10        0.85      0.4034   0.0102384
          10        0.95      0.4017   0.0107229
          10        1.05      0.3392  0.00700114
          10        1.15      0.2959  0.00564349
          10        1.25      0.2407  0.00960109
          10        1.35      0.1646  0.00463077
