T:   H:   H_ERR:   MU:   SIGMA:
        3.94    0.219131   0.0117588    0.906836    0.954708
      3.8809     0.59774   0.0150107    0.984817    0.986494
     3.82269     0.59774   0.0150107    0.984817    0.986494
     3.76535    0.466521   0.0138694    0.942698    0.997525
     3.70887    0.100676  0.00901741    0.890438    0.929448
     3.65323   -0.183601   0.0052184    0.837966    0.837515
     3.59843     0.10199  0.00870264    0.924584     0.89494
     3.54446  0.00155389  0.00661302    0.967291    0.818936
     3.49129   -0.135242  0.00660782    0.890728    0.821027
     3.43892   -0.338274  0.00384018    0.853324    0.737564
     3.38734   -0.235954  0.00601007    0.865884    0.796542
     3.33653   -0.382384  0.00249751    0.805929    0.720982
     3.28648   -0.359831  0.00289931    0.777649    0.748712
     3.23718   -0.345847  0.00345648    0.689993    0.764836
     3.18863   -0.363747   0.0019434    0.662931    0.726896
      3.1408    -0.31441  0.00241332    0.597972    0.789613
     3.09368   -0.278413   0.0048667    0.677641    0.849718
     3.04728   -0.305213  0.00333872    0.626168    0.817559
     3.00157   -0.342465  0.00267039    0.701048    0.774992
     2.95655   -0.365129  0.00234806    0.696152    0.738332
      2.9122   -0.322328  0.00403171    0.769042    0.784006
     2.86851   -0.379094  0.00210803     0.76252    0.730786
     2.82549   -0.308005  0.00376124    0.747011     0.79973
      2.7831   -0.354825  0.00242128    0.697289    0.761577
     2.74136    -0.29933  0.00343102     0.63703    0.840834
     2.70024   -0.203159   0.0060875    0.707814    0.902312
     2.65973   -0.302955  0.00327857    0.647308    0.824194
     2.61984   -0.329246  0.00250094     0.61649    0.764238
     2.58054   -0.294235   0.0022319     0.55565    0.735021
     2.54183   -0.232919  0.00174356     0.49776    0.688789
      2.5037   -0.222248  0.00217493    0.502225    0.667715
     2.46615   -0.190936  0.00183045    0.511756    0.598179
     2.42916   -0.268016  0.00179989    0.575468    0.576667
     2.39272   -0.331644  0.00152679    0.620561    0.594425
     2.35683    -0.36213   0.0016893    0.686321    0.545158
     2.32148   -0.348806  0.00179472    0.658184    0.554404
     2.28665   -0.413695  0.00104185     0.70682    0.608326
     2.25235   -0.420486  0.00119956    0.722781    0.614251
     2.21857   -0.411616  0.00128274    0.701273     0.62592
     2.18529   -0.382918  0.00167604    0.677619    0.684299
     2.15251   -0.368148  0.00112563    0.647151    0.633838
     2.12022   -0.316315  0.00165725    0.589742    0.692408
     2.08842   -0.280359  0.00137838    0.568343    0.621839
     2.05709   -0.300328  0.00157843    0.585557     0.62194
     2.02624   -0.334165  0.00153857    0.610524    0.644689
     1.99584   -0.327001  0.00164436    0.601925    0.648349
     1.96591   -0.361561  0.00139147    0.642241    0.675017
     1.93642   -0.323097  0.00114034    0.596615    0.666986
     1.90737   -0.247586  0.00168713    0.535826    0.632466
     1.87876    -0.19716  0.00222987    0.493835    0.642813
     1.85058   -0.184122  0.00201667     0.51742    0.578407
     1.82282   -0.276225  0.00159538    0.565607    0.624962
     1.79548   -0.225397  0.00227546    0.509553    0.655678
     1.76855   -0.223393  0.00181268     0.47052    0.721593
     1.74202   -0.258353  0.00207919    0.533034    0.665159
     1.71589   -0.198763  0.00212192    0.492599    0.643133
     1.69015   -0.215048  0.00179236    0.523333    0.611625
      1.6648   -0.231052  0.00178026    0.507526    0.669457
     1.63983   -0.248714  0.00187224     0.49706    0.727856
     1.61523   -0.213772   0.0019424    0.454001    0.723135
       1.591   -0.204731  0.00246656    0.415093     0.75982
     1.56713   -0.181963  0.00245541    0.412791    0.728482
     1.54363   -0.139909  0.00227988    0.389863    0.706079
     1.52047  -0.0278621  0.00253457    0.332371    0.665477
     1.49767  -0.0396585  0.00269911    0.344496    0.667576
      1.4752   -0.152833  0.00241507    0.402968    0.705067
     1.45307   -0.164955  0.00209863    0.386592    0.736063
     1.43128  -0.0938552  0.00270992    0.347119    0.700081
     1.40981    -0.10978  0.00233166    0.395564    0.675769
     1.38866   -0.103056   0.0026146    0.435587    0.624337
     1.36783  -0.0657061  0.00231915     0.43167    0.595244
     1.34731   -0.131514   0.0020472    0.470852    0.599959
      1.3271   -0.119699  0.00207503    0.491224    0.552901
      1.3072  -0.0753439  0.00240558    0.471967    0.543727
     1.28759  -0.0985427  0.00207039    0.476561    0.556368
     1.26828  -0.0554427  0.00262955    0.422796    0.598372
     1.24925   -0.114496  0.00220973    0.465947    0.589172
     1.23051   -0.190533  0.00179514    0.505622    0.609966
     1.21205    -0.19512  0.00188605    0.487155    0.655215
     1.19387   -0.207233  0.00200339    0.459055    0.709615
     1.17597   -0.246469  0.00245644    0.486239    0.738705
     1.15833   -0.263431  0.00233053     0.51379    0.740743
     1.14095   -0.261372  0.00215264    0.484816    0.786142
     1.12384   -0.243069  0.00232987    0.469959    0.762579
     1.10698   -0.225045  0.00169884    0.473394    0.716076
     1.09037   -0.218824  0.00181091    0.433165    0.752225
     1.07402   -0.218824  0.00181091    0.433165    0.752225
     1.05791   -0.171689  0.00206997    0.422014     0.70835
     1.04204   -0.112368  0.00255637    0.407057    0.663386
     1.02641  -0.0994421   0.0024578    0.415641    0.644979
     1.01101   -0.143813  0.00202165    0.462127    0.627766
    0.995848  -0.0926175  0.00249565    0.444649    0.596005
    0.980911  -0.0573143  0.00243612    0.395785    0.629745
    0.966197  -0.0454913  0.00227361    0.365498     0.65325
    0.951704  -0.0365612  0.00309028    0.325451    0.674095
    0.937428  -0.0488093  0.00245034    0.366875    0.652102
    0.923367  -0.0418928  0.00241254    0.392828    0.623473
    0.909516  -0.0418928  0.00241254    0.392828    0.623473
    0.895874  -0.0671606  0.00242183    0.395342    0.640336
    0.882436  -0.0532888  0.00265706    0.401221    0.624164
    0.869199   0.0378349  0.00340116    0.375008    0.588242
    0.856161   0.0738638  0.00255218    0.390926    0.545708
    0.843319   0.0738638  0.00255218    0.390926    0.545708
    0.830669   0.0397955  0.00289582    0.436271    0.507089
    0.818209    0.181349  0.00350005    0.394422    0.476087
    0.805936    0.155952   0.0029879    0.420009    0.452663
    0.793847    0.165172  0.00337662    0.460882    0.412843
    0.781939    0.229037  0.00360899    0.436118    0.406966
     0.77021   0.0744992  0.00268262    0.465263    0.446791
    0.758657   0.0786603   0.0028622    0.433916    0.481487
    0.747277 -0.00089963  0.00245981    0.465895    0.487618
    0.736068 -0.00110953  0.00299733     0.44432    0.525238
    0.725027  -0.0826982  0.00225693    0.482129    0.534696
    0.714151   -0.102684  0.00243992    0.509709    0.505769
    0.703439     -0.1337  0.00246005    0.513748    0.527425
    0.692888   -0.165328  0.00231006    0.550858    0.501694
    0.682494  -0.0826155  0.00259536    0.531123    0.473292
    0.672257  -0.0993881  0.00230199    0.505129    0.509077
    0.662173   -0.119479  0.00227625     0.52218    0.500225
     0.65224   -0.132695  0.00221805    0.548889    0.483174
    0.642457   -0.123308  0.00217262    0.511283    0.521172
     0.63282   -0.122434  0.00242524    0.520167    0.510911
    0.623328    -0.14876  0.00269493    0.546694    0.496918
    0.613978   -0.154548  0.00203537    0.577334    0.478626
    0.604768   -0.115373  0.00314253    0.590757    0.458783
    0.595696   -0.042564  0.00387764    0.582222    0.439679
    0.586761   -0.173936  0.00306098    0.619577    0.471834
     0.57796   -0.171846  0.00241725    0.611662    0.474222
     0.56929   -0.152995  0.00293641    0.618485    0.465278
    0.560751   -0.149538  0.00360071    0.617041    0.462591
     0.55234   -0.150039  0.00393553    0.625619    0.462637
    0.544055   -0.150039  0.00393553    0.625619    0.462637
    0.535894    -0.15639  0.00383248    0.661139    0.460234
    0.527855   -0.128395   0.0034831    0.650259     0.45434
    0.519937   -0.192946  0.00294667    0.641131    0.474008
    0.512138  -0.0681196  0.00413075    0.612349    0.441426
    0.504456   -0.125922  0.00310087    0.624242    0.455136
    0.496889    -0.13346  0.00377629    0.643646    0.454911
