#     BLOCK:   ACTUAL_H:    H_AVE:      ERROR:
           1   -0.443722   -0.443722           0
           2    -0.44991   -0.446816  0.00218759
           3   -0.441452   -0.445028  0.00206351
           4   -0.444446   -0.444882  0.00155275
           5   -0.436755   -0.443257  0.00191234
           6   -0.451808   -0.444682  0.00205725
           7   -0.442015   -0.444301  0.00179829
           8   -0.452373    -0.44531  0.00183489
           9   -0.439282    -0.44464  0.00174897
          10   -0.443495   -0.444526  0.00157782
          11   -0.428483   -0.443067  0.00199776
          12   -0.444145   -0.443157   0.0018333
          13   -0.441013   -0.442992  0.00169968
          14   -0.446314    -0.44323  0.00159475
          15   -0.446022   -0.443416  0.00149926
          16   -0.445335   -0.443536  0.00141035
          17    -0.44872   -0.443841  0.00135995
          18   -0.446096   -0.443966  0.00129016
          19   -0.458225   -0.444716   0.0014239
          20   -0.440438   -0.444502  0.00136868
