T:   H:   H_ERR:   MU:   SIGMA:
        3.94     1.47587   0.0376352     1.09368     1.05883
      3.8809     1.43062    0.039819     1.06021     1.09641
     3.82269    0.943836   0.0282841     0.97134     1.08456
     3.76535     1.45786   0.0247828    0.947272     1.19576
     3.70887     2.43654   0.0659096    0.999624     1.30291
     3.65323     1.17169   0.0415431    0.899205     1.20089
     3.59843     1.10084   0.0249067    0.863925     1.20263
     3.54446     1.12918   0.0282804    0.903154      1.1767
     3.49129     1.04725   0.0341285    0.983695     1.10045
     3.43892     1.61114   0.0334175    0.991651     1.19111
     3.38734     1.61114   0.0334175    0.991651     1.19111
     3.33653     1.78461   0.0342267    0.930736     1.26581
     3.28648     1.80939   0.0419156    0.956365     1.25365
     3.23718     2.77302   0.0569232     1.05516     1.29234
     3.18863     1.69642   0.0401145    0.954875     1.24666
      3.1408     1.57498   0.0362877     1.01206     1.16051
     3.09368     1.55366   0.0277074    0.989066     1.18029
     3.04728     3.20158   0.0579672     1.09912     1.28984
     3.00157     2.92383   0.0490189     1.16917     1.19338
     2.95655      2.4539   0.0432838     1.16944     1.12536
      2.9122      2.0561   0.0475746      1.2057      1.0193
     2.86851     3.25758   0.0517605     1.31233     1.05054
     2.82549       3.543   0.0511633     1.38086    0.988817
      2.7831      2.4399   0.0333907     1.33354    0.919092
     2.74136     4.18469   0.0579416     1.42912    0.995726
     2.70024     4.99968   0.0629226     1.48478     1.01162
     2.65973      6.1597   0.0657797     1.56028    0.997164
     2.61984     5.90332   0.0605291      1.5587    0.967734
     2.58054     7.75074    0.063389     1.62261     1.03689
     2.54183     7.75074    0.063389     1.62261     1.03689
      2.5037      7.7646   0.0583563     1.68448    0.936944
     2.46615     5.28253   0.0411036     1.58976    0.866751
     2.42916     6.40401   0.0404414     1.67475     0.83332
     2.39272     6.40401   0.0404414     1.67475     0.83332
     2.35683     5.49837   0.0413522     1.68809    0.735508
     2.32148      5.0652   0.0299043     1.69262    0.676244
     2.28665     6.73983   0.0429056     1.78856    0.681772
     2.25235     9.23636   0.0771943     1.84125    0.782317
     2.21857     6.69525   0.0580985     1.77114    0.699585
     2.18529     7.98936   0.0378501     1.86393    0.651301
     2.15251     8.12544   0.0417041     1.91318    0.563471
     2.12022     8.49288   0.0513134     1.90083    0.615519
     2.08842     8.49288   0.0513134     1.90083    0.615519
     2.05709     8.49288   0.0513134     1.90083    0.615519
     2.02624     6.53349   0.0330593     1.81324    0.606106
     1.99584     8.19954   0.0458702      1.8441    0.707334
     1.96591     6.71453   0.0462074     1.78521     0.68422
     1.93642     7.19078   0.0472386     1.83534    0.630818
     1.90737     9.63816   0.0685852     1.92949    0.669614
     1.87876     10.2663    0.070767     1.94729    0.686045
     1.85058     10.2663    0.070767     1.94729    0.686045
     1.82282     8.44515   0.0546893     1.86349    0.689414
     1.79548     7.22806   0.0474488     1.81024     0.68947
     1.76855     5.95437   0.0448054     1.71762    0.718833
     1.74202     4.62748   0.0332345     1.65269    0.699393
     1.71589     4.21388   0.0283999     1.62691    0.692141
     1.69015     2.77424   0.0299435     1.53239    0.650693
      1.6648     2.56819   0.0215706     1.52119    0.630063
     1.63983     2.40342   0.0248238     1.45795    0.711074
     1.61523     2.50509    0.028728     1.44746    0.747895
       1.591     1.97089     0.02866     1.43718    0.673567
