#   N_BLOCK:  ACCEPTANCE:

Previous AR: 1    New _delta value: 4

Previous AR: 0.395    New _delta value: 3.88

Previous AR: 0.39    New _delta value: 3.7636

Previous AR: 0.39    New _delta value: 3.65069

Previous AR: 0    New _delta value: 1.82535

Previous AR: 0.72    New _delta value: 1.88011

Previous AR: 0.69    New _delta value: 1.93651

Previous AR: 0.75    New _delta value: 1.9946

Previous AR: 0.675    New _delta value: 2.05444

Previous AR: 0.69    New _delta value: 2.11608

Previous AR: 0.615    New _delta value: 2.17956

Previous AR: 0.7    New _delta value: 2.24495

Previous AR: 0.655    New _delta value: 2.31229

Previous AR: 0.655    New _delta value: 2.38166

Previous AR: 0.665    New _delta value: 2.45311

Previous AR: 0.65    New _delta value: 2.52671

Previous AR: 0.625    New _delta value: 2.60251

Previous AR: 0.64    New _delta value: 2.68058

Previous AR: 0.62    New _delta value: 2.761

Previous AR: 0.625    New _delta value: 2.84383

Previous AR: 0.62    New _delta value: 2.92914

Previous AR: 0.615    New _delta value: 3.01702

Previous AR: 0.62    New _delta value: 3.10753

Previous AR: 0.61    New _delta value: 3.20076

Previous AR: 0.63    New _delta value: 3.29678

Previous AR: 0.605    New _delta value: 3.39568
           1      0.5172
           2      0.5194
           3      0.5112
           4      0.5165
           5      0.5204
           6      0.5101
           7      0.5192
           8      0.5106
           9      0.5195
          10      0.5071
          11      0.5052
          12      0.5211
          13      0.5142
          14       0.508
          15      0.5195
          16      0.5136
          17      0.5146
          18      0.5096
          19      0.5181
          20      0.5186

Previous AR: 0    New _delta value: 1.69784

Previous AR: 0.81    New _delta value: 1.74878

Previous AR: 0.785    New _delta value: 1.80124

Previous AR: 0.785    New _delta value: 1.85528

Previous AR: 0.72    New _delta value: 1.91093

Previous AR: 0.735    New _delta value: 1.96826

Previous AR: 0.785    New _delta value: 2.02731

Previous AR: 0.745    New _delta value: 2.08813

Previous AR: 0.745    New _delta value: 2.15077

Previous AR: 0.775    New _delta value: 2.2153

Previous AR: 0.66    New _delta value: 2.28176

Previous AR: 0.705    New _delta value: 2.35021

Previous AR: 0.725    New _delta value: 2.42071

Previous AR: 0.635    New _delta value: 2.49334

Previous AR: 0.615    New _delta value: 2.56814

Previous AR: 0.67    New _delta value: 2.64518

Previous AR: 0.63    New _delta value: 2.72454

Previous AR: 0.65    New _delta value: 2.80627

Previous AR: 0.625    New _delta value: 2.89046

Previous AR: 0.635    New _delta value: 2.97717

Previous AR: 0.63    New _delta value: 3.06649

Previous AR: 0.65    New _delta value: 3.15848

Previous AR: 0.65    New _delta value: 3.25324

Previous AR: 0.62    New _delta value: 3.35084

Previous AR: 0.63    New _delta value: 3.45136

Previous AR: 0.605    New _delta value: 3.5549

Previous AR: 0.615    New _delta value: 3.66155

Previous AR: 0.605    New _delta value: 3.77139
           1      0.5106
           2      0.5097
           3      0.5092
           4      0.5114
           5       0.512
           6      0.5047
           7      0.5063
           8      0.5175
           9      0.5102
          10      0.5119
          11      0.5154
          12       0.509
          13      0.5136
          14      0.5066
          15      0.5091
          16      0.5176
          17      0.4965
          18       0.513
          19      0.5055
          20      0.5001

Previous AR: 1    New _delta value: 7.54279

Previous AR: 0.225    New _delta value: 7.31651

Previous AR: 0.28    New _delta value: 7.09701

Previous AR: 0.265    New _delta value: 6.8841

Previous AR: 0.3    New _delta value: 6.67758

Previous AR: 0.31    New _delta value: 6.47725

Previous AR: 0.285    New _delta value: 6.28293

Previous AR: 0.305    New _delta value: 6.09444

Previous AR: 0.33    New _delta value: 5.91161

Previous AR: 0.32    New _delta value: 5.73426

Previous AR: 0.36    New _delta value: 5.56223

Previous AR: 0.325    New _delta value: 5.39537

Previous AR: 0.325    New _delta value: 5.23351

Previous AR: 0.345    New _delta value: 5.0765

Previous AR: 0.375    New _delta value: 4.92421

Previous AR: 0.37    New _delta value: 4.77648

Previous AR: 0.39    New _delta value: 4.63319

Previous AR: 0.385    New _delta value: 4.49419

Previous AR: 0.355    New _delta value: 4.35936

Previous AR: 0.395    New _delta value: 4.22858

Previous AR: 0.365    New _delta value: 4.10173

Previous AR: 0.355    New _delta value: 3.97867

Previous AR: 0.39    New _delta value: 3.85931
           1      0.4881
           2       0.486
           3      0.4843
           4      0.4828
           5      0.4875
           6      0.4899
           7      0.4896
           8      0.4853
           9      0.4925
          10      0.4948
          11        0.49
          12      0.4808
          13      0.4815
          14      0.4884
          15      0.4856
          16      0.4873
          17      0.4876
          18       0.483
          19      0.4848
          20       0.483

Previous AR: 1    New _delta value: 7.71863

Previous AR: 0.22    New _delta value: 7.48707

Previous AR: 0.22    New _delta value: 7.26246

Previous AR: 0.29    New _delta value: 7.04458

Previous AR: 0.26    New _delta value: 6.83325

Previous AR: 0.25    New _delta value: 6.62825

Previous AR: 0.255    New _delta value: 6.4294

Previous AR: 0.335    New _delta value: 6.23652

Previous AR: 0.285    New _delta value: 6.04942

Previous AR: 0.305    New _delta value: 5.86794

Previous AR: 0.31    New _delta value: 5.6919

Previous AR: 0.295    New _delta value: 5.52115

Previous AR: 0.37    New _delta value: 5.35551

Previous AR: 0.35    New _delta value: 5.19485

Previous AR: 0.395    New _delta value: 5.039

Previous AR: 0.35    New _delta value: 4.88783

Previous AR: 0.38    New _delta value: 4.7412

Previous AR: 0.39    New _delta value: 4.59896

Previous AR: 0.385    New _delta value: 4.46099

Previous AR: 0.39    New _delta value: 4.32716

Previous AR: 0.39    New _delta value: 4.19735

Previous AR: 0.39    New _delta value: 4.07143

Previous AR: 0.365    New _delta value: 3.94928

Previous AR: 0.39    New _delta value: 3.8308

Previous AR: 0.39    New _delta value: 3.71588

Previous AR: 0.355    New _delta value: 3.6044
           1      0.4801
           2       0.478
           3       0.488
           4      0.4868
           5      0.4775
           6      0.4867
           7      0.4875
           8      0.4818
           9      0.4858
          10      0.4864
          11      0.4922
          12       0.484
          13      0.4876
          14      0.4759
          15        0.48
          16      0.4919
          17      0.4868
          18       0.486
          19      0.4812
          20      0.4861

Previous AR: 0    New _delta value: 1.8022

Previous AR: 0.7    New _delta value: 1.85627

Previous AR: 0.7    New _delta value: 1.91196

Previous AR: 0.675    New _delta value: 1.96931

Previous AR: 0.69    New _delta value: 2.02839

Previous AR: 0.67    New _delta value: 2.08925

Previous AR: 0.625    New _delta value: 2.15192

Previous AR: 0.695    New _delta value: 2.21648

Previous AR: 0.69    New _delta value: 2.28298

Previous AR: 0.61    New _delta value: 2.35146

Previous AR: 0.69    New _delta value: 2.42201

Previous AR: 0.685    New _delta value: 2.49467

Previous AR: 0.64    New _delta value: 2.56951

Previous AR: 0.65    New _delta value: 2.64659

Previous AR: 0.62    New _delta value: 2.72599

Previous AR: 0.61    New _delta value: 2.80777

Previous AR: 0.62    New _delta value: 2.89201

Previous AR: 0.605    New _delta value: 2.97877

Previous AR: 0.625    New _delta value: 3.06813

Previous AR: 0.62    New _delta value: 3.16017
           1      0.5364
           2      0.5315
           3      0.5294
           4      0.5338
           5      0.5418
           6      0.5346
           7      0.5419
           8      0.5341
           9      0.5286
          10      0.5309
          11       0.534
          12      0.5374
          13      0.5378
          14      0.5283
          15      0.5442
          16      0.5353
          17      0.5346
          18      0.5311
          19      0.5396
          20      0.5325

Previous AR: 0    New _delta value: 1.58009

Previous AR: 0.72    New _delta value: 1.62749

Previous AR: 0.76    New _delta value: 1.67631

Previous AR: 0.745    New _delta value: 1.7266

Previous AR: 0.725    New _delta value: 1.7784

Previous AR: 0.67    New _delta value: 1.83175

Previous AR: 0.685    New _delta value: 1.88671

Previous AR: 0.76    New _delta value: 1.94331

Previous AR: 0.695    New _delta value: 2.00161

Previous AR: 0.655    New _delta value: 2.06165

Previous AR: 0.7    New _delta value: 2.1235

Previous AR: 0.66    New _delta value: 2.18721

Previous AR: 0.63    New _delta value: 2.25283

Previous AR: 0.68    New _delta value: 2.32041

Previous AR: 0.69    New _delta value: 2.39002

Previous AR: 0.695    New _delta value: 2.46172

Previous AR: 0.69    New _delta value: 2.53557

Previous AR: 0.655    New _delta value: 2.61164

Previous AR: 0.62    New _delta value: 2.68999

Previous AR: 0.61    New _delta value: 2.77069

Previous AR: 0.625    New _delta value: 2.85381

Previous AR: 0.63    New _delta value: 2.93943

Previous AR: 0.615    New _delta value: 3.02761

Previous AR: 0.62    New _delta value: 3.11844

Previous AR: 0.635    New _delta value: 3.21199

Previous AR: 0.61    New _delta value: 3.30835
           1      0.5511
           2      0.5478
           3      0.5486
           4      0.5368
           5       0.541
           6      0.5406
           7      0.5478
           8      0.5404
           9      0.5534
          10      0.5482
          11      0.5438
          12      0.5358
          13      0.5459
          14      0.5396
          15      0.5408
          16      0.5412
          17       0.543
          18      0.5403
          19        0.55
          20      0.5424

Previous AR: 0    New _delta value: 1.65417

Previous AR: 0.74    New _delta value: 1.7038

Previous AR: 0.74    New _delta value: 1.75491

Previous AR: 0.655    New _delta value: 1.80756

Previous AR: 0.745    New _delta value: 1.86179

Previous AR: 0.76    New _delta value: 1.91764

Previous AR: 0.655    New _delta value: 1.97517

Previous AR: 0.665    New _delta value: 2.03443

Previous AR: 0.67    New _delta value: 2.09546

Previous AR: 0.655    New _delta value: 2.15832

Previous AR: 0.65    New _delta value: 2.22307

Previous AR: 0.665    New _delta value: 2.28976

Previous AR: 0.64    New _delta value: 2.35846

Previous AR: 0.625    New _delta value: 2.42921

Previous AR: 0.65    New _delta value: 2.50209

Previous AR: 0.615    New _delta value: 2.57715

Previous AR: 0.615    New _delta value: 2.65446

Previous AR: 0.63    New _delta value: 2.7341

Previous AR: 0.615    New _delta value: 2.81612

Previous AR: 0.605    New _delta value: 2.90061

Previous AR: 0.645    New _delta value: 2.98762
           1       0.555
           2      0.5398
           3      0.5491
           4      0.5448
           5      0.5458
           6      0.5383
           7      0.5465
           8      0.5455
           9      0.5378
          10      0.5499
          11      0.5546
          12      0.5325
          13      0.5484
          14      0.5539
          15      0.5621
          16      0.5484
          17      0.5421
          18      0.5457
          19      0.5389
          20      0.5415

Previous AR: 1    New _delta value: 5.97525

Previous AR: 0.315    New _delta value: 5.79599

Previous AR: 0.315    New _delta value: 5.62211

Previous AR: 0.29    New _delta value: 5.45345

Previous AR: 0.315    New _delta value: 5.28984

Previous AR: 0.285    New _delta value: 5.13115

Previous AR: 0.305    New _delta value: 4.97721

Previous AR: 0.37    New _delta value: 4.8279

Previous AR: 0.385    New _delta value: 4.68306

Previous AR: 0.37    New _delta value: 4.54257

Previous AR: 0.375    New _delta value: 4.40629

Previous AR: 0.35    New _delta value: 4.2741

Previous AR: 0.37    New _delta value: 4.14588

Previous AR: 0.365    New _delta value: 4.0215

Previous AR: 0.39    New _delta value: 3.90086

Previous AR: 0.37    New _delta value: 3.78383

Previous AR: 0.39    New _delta value: 3.67032

Previous AR: 0.39    New _delta value: 3.56021
           1      0.4788
           2      0.4764
           3      0.4656
           4      0.4677
           5       0.464
           6      0.4706
           7      0.4679
           8      0.4664
           9      0.4717
          10      0.4744
          11       0.463
          12      0.4691
          13      0.4664
          14      0.4748
          15      0.4666
          16      0.4716
          17      0.4733
          18      0.4675
          19      0.4698
          20      0.4746

Previous AR: 1    New _delta value: 7.12042

Previous AR: 0.245    New _delta value: 6.9068

Previous AR: 0.21    New _delta value: 6.6996

Previous AR: 0.235    New _delta value: 6.49861

Previous AR: 0.3    New _delta value: 6.30365

Previous AR: 0.225    New _delta value: 6.11454

Previous AR: 0.285    New _delta value: 5.93111

Previous AR: 0.31    New _delta value: 5.75317

Previous AR: 0.305    New _delta value: 5.58058

Previous AR: 0.325    New _delta value: 5.41316

Previous AR: 0.325    New _delta value: 5.25077

Previous AR: 0.34    New _delta value: 5.09324

Previous AR: 0.33    New _delta value: 4.94045

Previous AR: 0.39    New _delta value: 4.79223

Previous AR: 0.365    New _delta value: 4.64847

Previous AR: 0.37    New _delta value: 4.50901

Previous AR: 0.395    New _delta value: 4.37374

Previous AR: 0.33    New _delta value: 4.24253

Previous AR: 0.385    New _delta value: 4.11525

Previous AR: 0.395    New _delta value: 3.9918

Previous AR: 0.39    New _delta value: 3.87204

Previous AR: 0.385    New _delta value: 3.75588

Previous AR: 0.385    New _delta value: 3.6432

Previous AR: 0.395    New _delta value: 3.53391
           1      0.4786
           2      0.4783
           3      0.4862
           4      0.4787
           5      0.4902
           6      0.4781
           7      0.4757
           8       0.479
           9      0.4728
          10      0.4792
          11       0.475
          12      0.4919
          13      0.4866
          14      0.4776
          15      0.4766
          16      0.4716
          17      0.4937
          18      0.4884
          19      0.4765
          20      0.4793

Previous AR: 0    New _delta value: 1.76695

Previous AR: 0.755    New _delta value: 1.81996

Previous AR: 0.65    New _delta value: 1.87456

Previous AR: 0.75    New _delta value: 1.9308

Previous AR: 0.69    New _delta value: 1.98872

Previous AR: 0.675    New _delta value: 2.04838

Previous AR: 0.725    New _delta value: 2.10984

Previous AR: 0.705    New _delta value: 2.17313

Previous AR: 0.695    New _delta value: 2.23832

Previous AR: 0.69    New _delta value: 2.30547

Previous AR: 0.66    New _delta value: 2.37464

Previous AR: 0.675    New _delta value: 2.44588

Previous AR: 0.635    New _delta value: 2.51925

Previous AR: 0.605    New _delta value: 2.59483

Previous AR: 0.62    New _delta value: 2.67268

Previous AR: 0.66    New _delta value: 2.75286

Previous AR: 0.655    New _delta value: 2.83544

Previous AR: 0.615    New _delta value: 2.92051

