#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    0.330102    0.330102           0
           2    0.351372    0.340737  0.00751986
           3    0.324449    0.335308  0.00669222
           4    0.321262    0.331796  0.00586855
           5    0.324224    0.330282  0.00488635
           6     0.35147    0.333813   0.0051936
           7     0.31938    0.331751  0.00484371
           8    0.306618     0.32861  0.00515743
           9    0.315959    0.327204  0.00477207
          10    0.329005    0.327384  0.00429826
          11    0.334448    0.328026  0.00395519
          12    0.293338    0.325136   0.0045612
          13    0.306294    0.323686  0.00443465
          14    0.321127    0.323503  0.00412165
          15    0.304649    0.322246  0.00403398
          16    0.315747     0.32184  0.00380225
          17    0.332516    0.322468  0.00363008
          18      0.3203    0.322348  0.00343041
          19    0.318215     0.32213  0.00325675
          20    0.329388    0.322493  0.00311406
