#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.773825   -0.773825           0
           2   -0.801281   -0.787553  0.00970744
           3   -0.765901   -0.780335  0.00875271
           4   -0.765708   -0.776679  0.00728854
           5   -0.760978   -0.773539  0.00647199
           6   -0.803278   -0.778495     0.00704
           7   -0.761394   -0.776052  0.00644423
           8   -0.758991    -0.77392  0.00598118
           9   -0.755242   -0.771844  0.00566521
          10   -0.772501    -0.77191  0.00509907
          11   -0.762931   -0.771094   0.0047004
          12   -0.737483   -0.768293  0.00507505
          13   -0.747306   -0.766678  0.00493474
          14   -0.767441   -0.766733  0.00458256
          15   -0.750672   -0.765662  0.00440037
          16   -0.761082   -0.765376  0.00413465
          17   -0.781236   -0.766309  0.00399531
          18   -0.766396   -0.766314  0.00377335
          19    -0.77644   -0.766847  0.00361219
          20   -0.769826   -0.766996  0.00343465
