#     BLOCK:  ACTUAL_PSI:     PSI_AVE:      ERROR:
           1       -1.95      0.0013           0
           1       -1.85      0.0017           0
           1       -1.75      0.0025           0
           1       -1.65      0.0051           0
           1       -1.55      0.0091           0
           1       -1.45      0.0118           0
           1       -1.35      0.0191           0
           1       -1.25      0.0212           0
           1       -1.15      0.0267           0
           1       -1.05      0.0424           0
           1       -0.95      0.0372           0
           1       -0.85      0.0401           0
           1       -0.75       0.052           0
           1       -0.65      0.0352           0
           1       -0.55      0.0369           0
           1       -0.45      0.0351           0
           1       -0.35      0.0298           0
           1       -0.25      0.0319           0
           1       -0.15      0.0329           0
           1       -0.05       0.027           0
           1        0.05      0.0298           0
           1        0.15      0.0259           0
           1        0.25      0.0333           0
           1        0.35      0.0361           0
           1        0.45      0.0344           0
           1        0.55      0.0368           0
           1        0.65      0.0464           0
           1        0.75      0.0423           0
           1        0.85      0.0399           0
           1        0.95      0.0388           0
           1        1.05      0.0308           0
           1        1.15      0.0284           0
           1        1.25      0.0206           0
           1        1.35      0.0238           0
           1        1.45       0.013           0
           1        1.55      0.0084           0
           1        1.65      0.0046           0
           1        1.75      0.0027           0
           1        1.85      0.0013           0
           1        1.95      0.0015           0
           2       -1.95     0.00105 1.76936e-07
           2       -1.85     0.00165 3.53872e-08
           2       -1.75      0.0032 4.95421e-07
           2       -1.65      0.0056 3.53872e-07
           2       -1.55      0.0082 6.36969e-07
           2       -1.45      0.0122 2.83098e-07
           2       -1.35     0.01805 7.43131e-07
           2       -1.25     0.02295 1.23855e-06
           2       -1.15     0.02965 2.08784e-06
           2       -1.05     0.03805 3.07869e-06
           2       -0.95      0.0362 7.07744e-07
           2       -0.85      0.0417 1.13239e-06
           2       -0.75     0.04495 4.98959e-06
           2       -0.65      0.0379 1.91091e-06
           2       -0.55      0.0371 1.41549e-07
           2       -0.45       0.036 6.36969e-07
           2       -0.35       0.033 2.26478e-06
           2       -0.25      0.0294 1.76936e-06
           2       -0.15     0.02925 2.58326e-06
           2       -0.05     0.02955 1.80475e-06
           2        0.05      0.0276 1.55704e-06
           2        0.15      0.0263 2.83098e-07
           2        0.25     0.03055  1.9463e-06
           2        0.35      0.0361           0
           2        0.45      0.0355 7.78518e-07
           2        0.55      0.0383 1.06162e-06
           2        0.65     0.04445  1.3801e-06
           2        0.75     0.04515 2.01707e-06
           2        0.85      0.0431 2.26478e-06
           2        0.95     0.03855 1.76936e-07
           2        1.05     0.03155 5.30808e-07
           2        1.15     0.02945 7.43131e-07
           2        1.25      0.0227 1.48626e-06
           2        1.35      0.0206 2.26478e-06
           2        1.45       0.014 7.07744e-07
           2        1.55     0.00815 1.76936e-07
           2        1.65     0.00595 9.55454e-07
           2        1.75       0.003 2.12323e-07
           2        1.85     0.00085 3.18485e-07
           2        1.95     0.00095 3.89259e-07
           3       -1.95      0.0013 2.35962e-07
           3       -1.85      0.0017 4.71924e-08
           3       -1.75      0.0026 5.91319e-07
           3       -1.65  0.00563333  2.3753e-07
           3       -1.55  0.00803333 4.46045e-07
           3       -1.45   0.0124333 2.68347e-07
           3       -1.35      0.0184 5.72177e-07
           3       -1.25   0.0216333 1.35659e-06
           3       -1.15      0.0293 1.42127e-06
           3       -1.05   0.0350667 3.18761e-06
           3       -0.95   0.0372333 9.67539e-07
           3       -0.85      0.0394 2.02598e-06
           3       -0.75      0.0413 4.46885e-06
           3       -0.65   0.0400333 2.15971e-06
           3       -0.55   0.0383667 1.03966e-06
           3       -0.45   0.0365667 6.28444e-07
           3       -0.35   0.0325333 1.55759e-06
           3       -0.25   0.0309333 1.72128e-06
           3       -0.15      0.0315 2.51982e-06
           3       -0.05   0.0295667 1.20348e-06
           3        0.05   0.0270333 1.13687e-06
           3        0.15   0.0289667 2.18788e-06
           3        0.25   0.0322667 1.91134e-06
           3        0.35      0.0356 4.08698e-07
           3        0.45   0.0364667 9.45419e-07
           3        0.55      0.0405 1.93258e-06
           3        0.65   0.0429667 1.52215e-06
           3        0.75   0.0456667 1.40973e-06
           3        0.85      0.0446 1.94522e-06
           3        0.95   0.0401333 1.29958e-06
           3        1.05      0.0323 7.07885e-07
           3        1.15   0.0281333 1.18483e-06
           3        1.25   0.0214667 1.41367e-06
           3        1.35   0.0185333 2.26589e-06
           3        1.45   0.0123667 1.41603e-06
           3        1.55  0.00776667 3.34811e-07
           3        1.65  0.00513333 9.22769e-07
           3        1.75  0.00323333  2.3753e-07
           3        1.85  0.00116667 3.34811e-07
           3        1.95 0.000766667 2.99712e-07
           4       -1.95      0.0016 3.14623e-07
           4       -1.85    0.002375 5.86339e-07
           4       -1.75    0.002775 4.68771e-07
           4       -1.65     0.00555 1.92259e-07
           4       -1.55     0.00865 6.30737e-07
           4       -1.45    0.011625 7.29208e-07
           4       -1.35     0.01845  4.3136e-07
           4       -1.25      0.0213  1.0578e-06
           4       -1.15    0.029975 1.21615e-06
           4       -1.05      0.0344 2.45983e-06
           4       -0.95     0.03885 1.57848e-06
           4       -0.85    0.039425 1.51979e-06
           4       -0.75      0.0411 3.35645e-06
           4       -0.65    0.040575 1.68665e-06
           4       -0.55     0.03925 1.09304e-06
           4       -0.45    0.036625 4.74086e-07
           4       -0.35      0.0337 1.54539e-06
           4       -0.25    0.029925 1.55926e-06
           4       -0.15    0.031975 1.93441e-06
           4       -0.05    0.028825 1.10834e-06
           4        0.05     0.02695 8.55793e-07
           4        0.15      0.0285 1.69022e-06
           4        0.25     0.03135 1.63923e-06
           4        0.35    0.036025 4.79343e-07
           4        0.45    0.036525 7.10937e-07
           4        0.55    0.040325  1.4575e-06
           4        0.65    0.041825 1.51111e-06
           4        0.75    0.044775  1.3099e-06
           4        0.85    0.042725 2.18447e-06
           4        0.95    0.040125 9.74807e-07
           4        1.05    0.032825 6.99387e-07
           4        1.15    0.026975 1.34109e-06
           4        1.25    0.022725 1.52144e-06
           4        1.35    0.019075 1.76329e-06
           4        1.45    0.012675 1.09526e-06
           4        1.55     0.00795 2.97215e-07
           4        1.65      0.0052 6.94555e-07
           4        1.75     0.00295 3.03473e-07
           4        1.85    0.001525 3.99502e-07
           4        1.95    0.000675 2.38443e-07
           5       -1.95     0.00156 2.54642e-07
           5       -1.85     0.00236 4.70016e-07
           5       -1.75     0.00288 3.87245e-07
           5       -1.65     0.00586 3.17876e-07
           5       -1.55     0.00864 5.05479e-07
           5       -1.45      0.0113 6.52981e-07
           5       -1.35     0.01832  3.6478e-07
           5       -1.25     0.02066 1.02369e-06
           5       -1.15      0.0304 1.04639e-06
           5       -1.05      0.0351 2.06861e-06
           5       -0.95     0.03968 1.46764e-06
           5       -0.85     0.03998  1.3156e-06
           5       -0.75      0.0422 2.86473e-06
           5       -0.65     0.04064 1.35274e-06
           5       -0.55     0.03974 9.79923e-07
           5       -0.45     0.03588 7.68651e-07
           5       -0.35     0.03288 1.44025e-06
           5       -0.25     0.03102 1.58923e-06
           5       -0.15     0.03112 1.72935e-06
           5       -0.05     0.02846 9.46515e-07
           5        0.05     0.02804 1.19418e-06
           5        0.15     0.02956 1.65475e-06
           5        0.25     0.03086 1.38507e-06
           5        0.35      0.0354 6.79546e-07
           5        0.45     0.03656 5.70526e-07
           5        0.55     0.03862 1.92422e-06
           5        0.65      0.0416 1.22753e-06
           5        0.75      0.0459 1.45597e-06
           5        0.85     0.04234 1.78412e-06
           5        0.95     0.03972 8.61435e-07
           5        1.05     0.03278 5.61859e-07
           5        1.15     0.02616 1.29966e-06
           5        1.25     0.02256 1.22805e-06
           5        1.35     0.01854 1.49216e-06
           5        1.45     0.01236 9.21973e-07
           5        1.55     0.00796 2.38323e-07
           5        1.65     0.00538 5.79481e-07
           5        1.75      0.0031 2.77906e-07
           5        1.85     0.00164 3.36322e-07
           5        1.95      0.0006 2.02557e-07
           6       -1.95  0.00143333 2.41284e-07
           6       -1.85  0.00231667 3.92817e-07
           6       -1.75  0.00283333 3.24803e-07
           6       -1.65  0.00583333 2.65433e-07
           6       -1.55  0.00871667 4.26099e-07
           6       -1.45      0.0119 7.71465e-07
           6       -1.35     0.01825  3.0998e-07
           6       -1.25   0.0216667 1.25301e-06
           6       -1.15   0.0298167 1.02026e-06
           6       -1.05   0.0349667 1.72435e-06
