CITIES ORDER:       ORDERED COORDINATES ---> X:     Y:
1    0.169918    0.122649
18    0.159259   0.0839539
31   0.0534795    0.133804
12    0.193293    0.233157
15    0.239268    0.257893
34    0.251365    0.272751
20    0.024284    0.501858
23   0.0982145     0.67838
4   0.0860072    0.705029
7   0.0211376    0.776048
30   0.0179424    0.813285
32    0.111777    0.713423
22    0.213852    0.651955
2    0.331166    0.729649
21    0.369351    0.686006
14     0.49426    0.479138
3    0.571835    0.477115
16    0.584917    0.471797
17    0.580468    0.616809
33    0.399022    0.985475
19    0.754052    0.931865
29    0.939875    0.918855
27    0.970267    0.765764
5    0.905484    0.656019
25    0.840005    0.577269
13    0.756047    0.493226
6    0.836567    0.371496
28     0.99461     0.22611
11    0.754654   0.0646429
24    0.680137     0.12096
9    0.545858    0.279233
8    0.572439    0.168325
10    0.583179   0.0173017
26    0.453507   0.0527608
