GEN:      BEST_LOSS:      AVERAGE_LOSS: 
0     13.8471     17.6599
1     13.8471     17.1637
2     13.6906     16.7874
3     13.6906     16.5034
4     13.5954     16.2287
5     13.5774     15.9886
6     13.5774     15.7257
7      13.262     15.4382
8     12.8851     15.1685
9     12.0967      14.947
10     12.0967     14.7358
11     12.0967     14.5492
12     11.9753     14.3318
13     11.9753     14.1466
14     11.9753     13.9656
15     11.9753     13.8084
16     11.3953     13.6328
17     11.3953     13.4508
18     11.3953     13.2619
19     11.2803     13.0918
20     10.8799     12.9493
21     10.8799     12.7902
22     10.8799     12.6447
23     10.7751     12.5261
24     10.7751     12.4026
25     10.7751      12.301
26     10.7751     12.1768
27     10.4735     12.0453
28     10.4735      11.917
29     9.52354     11.7939
30     9.52354     11.6794
31     9.52354     11.5846
32     9.52354     11.4984
33     9.52354     11.4101
34     9.52354     11.3175
35     9.52354     11.2119
36     9.52354     11.1087
37     9.52354     11.0175
38     9.52354     10.9105
39     9.52354     10.8064
40     9.10364     10.7126
41     9.10364     10.6248
42      8.4567     10.5407
43      8.4567     10.4466
44      8.4567     10.3628
45      8.4567     10.2854
46      8.4567     10.2096
47      8.4567     10.1209
48      8.4567     10.0515
49      8.4567     9.97055
50      8.4567     9.89125
51      8.4567     9.81608
52     8.23861     9.73504
53     8.23861     9.66389
54     8.23861     9.58967
55     8.23861     9.51609
56     8.23861     9.43985
57     8.23861     9.35702
58     8.23861     9.28983
59     8.23861     9.22383
60     8.17688     9.15928
61     8.17688     9.09505
62     8.07452     9.04108
63     8.07452     8.99226
64     8.07452     8.93753
65     8.07452     8.88575
66     8.07452     8.83977
67     8.07452      8.7871
68     8.07452     8.74417
69     7.90856      8.6987
70     7.90856     8.65953
71     7.90856      8.6209
72       7.825     8.57739
73     7.80736     8.52997
74     7.80736     8.49437
75     7.80736     8.46426
76     7.65087     8.44316
77     7.65087     8.42437
78     7.65087     8.40217
79     7.65087     8.38106
80     7.65087     8.35826
81     7.65087     8.33094
82     7.65087     8.29846
83     7.63051     8.26641
84     7.62478     8.23222
85     7.58874     8.20825
86     7.58874     8.18333
87     7.58874     8.15088
88     7.57194     8.11699
89     7.48342     8.09173
90     7.48342      8.0693
91     7.48342     8.04908
92     7.48342     8.02469
93     7.48342     7.99248
94      7.3904     7.96012
95     6.96297     7.92497
96     6.96297     7.88906
97     6.96297     7.85342
98     6.96297     7.82195
99     6.96297     7.78827
100     6.96297     7.76223
101     6.96297     7.73596
102     6.96297     7.69996
103     6.96297     7.66413
104     6.96297     7.63591
105     6.96297     7.61165
106     6.96297     7.59116
107     6.96297     7.57098
108     6.96297     7.55087
109     6.93785      7.5309
110     6.93785     7.51317
111     6.93785     7.48918
112     6.69479     7.46959
113     6.69479     7.45392
114     6.69479     7.43627
115     6.69479     7.41472
116     6.69479     7.38414
117     6.69479     7.34403
118     6.69479     7.30948
119     6.69479     7.26678
120     6.69479     7.21687
121     6.69479     7.16523
122     6.69479     7.11779
123     6.69479     7.07727
124     6.69479     7.04252
125     6.69479     7.01468
126     6.69479     6.98405
127     6.69479     6.95405
128     6.69479     6.93553
129     6.69479     6.91957
130     6.69479     6.89996
131     6.69479     6.88451
132     6.60987     6.86239
133     6.60987      6.8277
134     6.60987      6.8039
135     6.60987     6.78753
136     6.57919     6.77198
137     6.54343     6.76496
138     6.54343     6.75836
139     6.54343     6.75095
140     6.54343     6.74341
141     6.54343     6.73105
142     6.54343     6.70721
143     6.54343     6.67743
144     6.54343     6.65777
145     6.52845     6.64584
146     6.52845     6.63872
147     6.52845     6.63413
148     6.52845       6.627
149     6.52845     6.61593
150     6.52845     6.60351
151     6.52845     6.59797
152     6.52845     6.59396
153     6.52845     6.59293
154     6.52845      6.5914
155     6.52845     6.58934
156     6.50301     6.58632
157     6.50301      6.5832
158     6.50301     6.57819
159     6.50301     6.57126
160     6.50301     6.56164
161     6.50301      6.5573
162     6.50301     6.55586
163     6.50301     6.55285
164     6.44884     6.54767
165     6.44884     6.54336
166     6.44884      6.5413
167     6.44884     6.54016
168     6.44884      6.5389
169     6.43593     6.53647
170     6.43593      6.5326
171     6.43593     6.52987
172     6.43593     6.52966
173     6.43593     6.52963
174     6.43593     6.52885
175     6.43593     6.52837
176     6.43593     6.52812
177     6.43593     6.52801
178     6.43496     6.52759
179     6.43496      6.5274
180     6.43496      6.5269
181     6.37913     6.52594
182     6.37913     6.52467
183     6.37913      6.5234
184     6.37913     6.52217
185     6.37431     6.51959
186     6.37431     6.51824
187     6.37431     6.51782
188     6.23621     6.51507
189     6.23621     6.51326
190     6.23621     6.51027
191     6.23621     6.50597
192     6.23621     6.49731
193     6.23621     6.48636
194     6.23621      6.4809
195     6.23621     6.47363
196     6.23621     6.46454
197     6.23621     6.44808
198     6.23621     6.42171
199     6.23621     6.40423
200     6.23621     6.38464
201     6.23621     6.37586
202     6.23621     6.37494
203     6.23621     6.37325
204     6.23621     6.37194
205     6.23621     6.37175
206     6.23621     6.37165
207     6.23621     6.37128
208     6.23621     6.37128
209     6.20283     6.37074
210     6.20283     6.37027
